text,claim_labels
"Of course, we have to improve the system, but we also have to get a grip on the numbers. This is an important issue. People need to know what's in our manifestos. I've set out my policies. But people need to know that the Liberal Democrats propose an amnesty for illegal immigrants. That could mean that some 600,000 people who are here illegally would actually be allowed to stay here and be given full citizenship, access to welfare and council housing, and could also bring a relative each into our country. I think that just doesn't make sense. That, I think, is a complete mistake that would make a bad situation we've had after 13 years of Labour even worse. I say, let's grip this problem. Let's talk about it sensitively and sensibly. Let's bring immigration down to more manageable levels. And I think the public will respond by making this not an issue at future elections.","[200, 230]"
"I think this is partly what's been going wrong for so long. We've had both major parties running governments over the last 20 years talking tough about immigration and delivering complete chaos in the way in which it's run. I'm like anybody else. I just want a fair, workable immigration system that counts people in, counts people out, only make sure immigrants come here if there's jobs for them to do in parts of the country where they don't place unreasonable strain on housing, on public services and so on. I think the regional approach that we're putting forward, which would be a major innovation, they do it in Canada, they do it in Australia, but it would be a major innovation here, which I think would restore public confidence in an immigration system.","[200, 230]"
"Or you could actually take the view that I'm not running to be Pope and that you are somebody who believes that I am not... I am a political leader, not a religious one. So I don't judge anybody. What's really key to my faith, for what it's worth, is you treat others as you want to be treated yourself. You do not judge other people. Otherwise, you yourself will be judged.",[]
But then you'll ignore the result. No.,[]
"No. I want to be a member of the European Union, that's very clear","[1900, 1910]"
Well it depends whether you're talking about tax rates or the tax burden. Both the ..  BOTH TOGETHER,"[100, 107]"
Thank you. Leanne Wood. This kind of scaremongering rhetoric is dangerous.,[]
We will win seats. And I'm convinced we'll win seats.,[]
That is a failure. Absolutely a failure.,[]
Is the ERM writ large with no exit signs.,[1900]
"Well, Ian, how old... How old's your daughter? She's 19.",[]
But you are right when you say that you can't control immigration from within the EU as a member.,"[200, 230, 1900]"
We've not met the commitment that I made. I fully accept that.,[]
"Do you know, they never tell me the stunts until about a few hours beforehand.",[]
"I don't think they should have gone in there, but I also think there should have been an opportunity to prevent that war happening by the UN, which was being attempted at that time. So you do think it was a Tory plot? That was my point to you. No, I think it was important. Why did you say so then? I think it was important that there should be a negotiated solution to that through the United Nations. That surely... If you didn't believe it was a Tory plot, why did you say you thought it was? Jeremy, Margaret Thatcher made a great deal of the whole issue, as everybody could see at the time. I felt that she was exploiting the situation, but there has to be, at the end of every conflict, there has to be a peace process. Why don't we start with the objective of trying to get a peace process and use our councils through the United Nations to achieve that?","[1900, 1920]"
"But quite successfully, right?",[]
"But I've just started with the easy ones. No, I don't regret it. And I'll tell you why. I think many of you might have watched that debate on Monday night between Boris Johnson and Jeremy Corbyn. And I don't know how you felt about it, but when I watched that, I felt pretty dismayed with the thought that somehow that has to be the choice, that that's all that we get to choose between. And I'm in the position of leading a political party that's standing in more than 600 seats at this election, And I'm proud to say that you don't have to make a choice between Boris Johnson and Jeremy Corbyn. There is a better alternative, because I truly believe that our country deserves a better and brighter future than what either of them is offering right now. And I'm determined, in my role as Liberal Democrat leader, to do everything I possibly can to make that happen.",[]
"It is difficult, for the very reason that",[]
".. refugees. I'm, I'm going to explain that to you Jeremy, you just have to be patient for a moment or two. Only two our of ten of the people who apply for asylum in this country today are genuine refugees, so we want to break the link between people who have to come to the country illegally, who have to trick their way in, in order to apply for asylum. We would take a number of genuine refugees from the UNHCR and if people arrived in this country and wanted to claim asylum we would","[100, 107, 200, 230]"
He doesn't even want my dams and jams.,[]
"No tax rises for working people, and nothing in our manifesto requires tax rises over and above those that we have specifically set out. So no tax rises in the next Parliament? No tax rises needed in the plans in our manifesto. In the plans? No tax rises for working people. That's income tax. National Insurance, a VAT.","[100, 107]"
"I think election campaigns should be about getting out and about. Yes, answering questions from voters, meeting voters, talking to people across the UK in a whole variety of circumstances. I'm afraid I think that actually having that interaction with voters is more useful for the voter and for the politician. I think anybody who wants to be Prime Minister should be out and about, listening to what people are thinking. And I don't think seven politicians just arguing amongst themselves is actually that interesting or that revealing.",[]
"Caroline, so do I. And here's the deal... The biggest issue facing young people in this country is that their future is about to be trashed by Theresa May, backed by Jeremy Corbyn, taking us out of the single market, out of the European Union, without any kind of vote of the people. Now I want people to trust me that I will give you the final say on the deal. That is the best thing to give our young people a decent future.","[1900, 1910]"
"You did originally say you'd respect the outcome of the referendum. after the referendum, you said you would, and then you changed your mind. Okay.",[]
"Well, Kamalina... Do you want to persuade her to stay?",[]
"Hi, I'm Rhian Ap Iorwerth, I'm the leader of Plaid Cymru. Tonight I'll make the case for a fairer, more ambitious Wales, but also for a new kind of politics that can matter to you wherever you are.",[]
Please stand down.,[]
"Well, we brought in £1,000 as opposed to £9,000. I think there's a big difference between a contribution and £9,000.","[100, 107]"
Mr Blair is on,[]
"We will have a number of flights from July through to build this deterrent. That's what I've always said. The principle here is I don't think people who come here should be able to stay. OK, you talk about this as if you care about the issue, but this is... When you ran for the Labour leadership, which wasn't very long ago, you promised to protect free movement, you said you would close, you promised to close detention centres for illegal migrants, and you boasted in that letter of getting illegal migrants more welfare. Like, that's what you actually believe, and that's why you can't trust him on this issue. So I say it again, do not surrender our borders to the Labour Party.","[200, 230]"
"Well, advised by whom? I think that...",[]
"We have a government that involves people fully. I'm sorry, I don't accept that we did not discuss Iraq in a proper way. We did.",[]
"All deaths are wrong. All killing is wrong. We have to develop, and we did in Northern Ireland eventually, a very effective peace process. And I think we should pay tribute to those in the unionist community, as well as those in the nationalist community, for coming together to bring about that peace process. It was a truly remarkable experience. OK. You, sir? Yes. Oh, you didn't want to speak. Me?","[100, 107, 200]"
At the moment you  BOTH TOGETHER,[]
"Another thing Nigel Farage said before he had his Damascene conversion at the beginning of the campaign was you said that, actually, the deal on the table from the Conservative government is virtually worse than remaining within the European Union. Now, if that's true, surely the right thing to do is ask the people again, is this the Brexit that you really wanted, or not the fantasy Brexit, the actual Brexit on the table? Is this what you thought you were voting for?","[1900, 1910]"
I don't subscribe to that view.,[]
"Daisy Cooper, your question. Can I come back?",[]
Absolutely life-changing. And I don't know if the Lib Dems agree with tuition fees or not. They've got quite a record in that regard. I'm sure you can elaborate upon it for all of us.,"[600, 601]"
"Well, it isn't... I do respect that point of view, but I don't agree with it, because I'm putting my view forward. And I think one of the things you've got to do... Then let us put ours forward. Well, you do at the general election. And one of the things about leadership is you don't always do what the polls tell you to do. You do what you think is the right thing for the country. And I've got to level with you and level with the country that I don't think the right thing for our country to do now is to plunge ourselves into two years of debating whether to leave the EU when I've got to tell you that for jobs and the millions of jobs that depend on it, for businesses and for families, it will be a disaster. Now, there's one thing I will say to you, which is if there's any further transfer of powers from Britain to the European Union, we would have a referendum. I think it's unlikely to happen, though. So, you know, in a way, you've got to make your own judgment about what is the most important issue to you. For me, it isn't trying to get out of the EU. OK?","[1900, 1910]"
"They disagree. They agree, actually.",[]
"And what is the back log, and we are dealing with all of those issues.",[]
"Well, we are not bound by what the Iraqi government does, it would be ridiculous for us to say that we want an Iraqi government taking more of its own responsibility for its country, having...","[1900, 1920]"
"Well, we don't even... I have to say to you... I don't think that will be the case because I think that the occupying troops, the Americans more than the British it has to be said, but the very presence of occupying troops is acting as a force for the insurrectionists within Iraq. But do remember when you say, wouldn't more Iraqis died, we can't even turn round as a country and say how many innocent Iraqis did die because we've never bothered to do the body count. When I say not in my name, Mr Blair, it's not just that I disagreed with the government on the policy, I'm ashamed of what the government did in the name of our country.","[1900, 1920]"
"When we talked about it last week, Nick didn't tell us that he wants an amnesty for illegal immigrants. I think that would be a wrong policy for this reason. It would encourage people to come to this country thinking that at some point we would legalise their presence. I think that would be not a deterrent on people coming to our country illegally, it would mean that more and more people would come into our country. Now our policy is to control and manage immigration. We've got a point system to do so. No unskilled worker from outside Europe can now come into our country. If you've got a skill, then we will get a British person to do that job advertised in a job centre if the skill is available in Britain. We're gradually reducing the number of skills we need to come from abroad. So cooks and care assistants in future, they will not come from abroad, they are trained up in Britain. And gradually we'll go through the skills list and make sure that those people who get jobs in Britain are skilled in Britain to do the jobs here. Thank you.","[200, 230]"
"This isn't about immigrants. It's about government policy. And the governments have got it wrong time and time again. Amber, for example, her party, have said in three manifestos now that they're going to get immigration down to the tens of thousands. You know, it's Jack and Ori. It's not going to happen. Jeremy won't give you a figure because under Labour, immigration will go up. There's only one party on this platform tonight who will see real cuts to immigration, which, by the way, is what the majority of British people want. We've seen that.","[200, 230]"
"Well let's wait and see if that ever happens and I hope it never does. But I think that people, actually when they look at this, despite all the stuff, because continually this is, this argument is conducted ..  BOTH TOGETHER",[]
"They want the best education for their kids. That's what they're interested in. And they're not fussed about where it comes from. They want it to be free, quite rightly, and so do I.","[600, 601]"
"I debate every week in the House of Commons with Michael Howard. I'm here to answer questions tonight. And I probably do more discussions, not just with audiences like this, but with people when we talk about the issues than any politician before me.",[]
"Let, let's deal with this for the moment ..  BOTH TOGETHER",[]
"My question is to Penny Morden. Given that your 2010 manifesto, your 2015 manifesto, your 2017 manifesto said you'd reduce net migration to tens of thousands, your 2019 manifesto said immigration would massively reduce, and that net 4.3 million people have come into the country since that time, why on earth should anybody believe the fifth manifesto that promises cuts to net migration?","[200, 230]"
We want to see it.,[]
"Nigel Farage, do you want to come back?",[]
Stop this scandal. It's pathetic. Just lying to the British people continually.,[]
"I, I think we did, we did a lot of very good things.",[]
"I would love to be able to get rid of the regime of Robert Mugabe, which I think is one of the most despicable tyrannies on the face of this earth. I would love to be able to do it. But I think it's however awful and despicable that regime is, it's very difficult to argue that it's a threat to the peace outside Zimbabwe. And you can't, as someone else pointed out earlier, I think it was Ahmed suggested earlier, what you can't do is go around the world changing every regime that you think is a bad regime. There are many bad regimes in the world. And I think we should do much more than we're doing now to change them. I think we should be doing much more than we're doing now to try and get rid of Robert Mugabe. But hang on. I think we should have sanctions against Robert Mugabe which are properly enforced.","[1900, 1920]"
"I want to put it absolutely beyond doubt. I really want hard-working people in our country who work every hour, who want to have a better future for themselves and their families. I want them to know that we're not going to put up VAT or national insurance or income tax because we know we can make the remaining savings without having to attack their wallets. That's the pledge I make.","[100, 107]"
"Thank you, Mr. Johnson.",[]
but  BOTH TOGETHER,[]
"some, not all of that intelligence was wrong. But the decision I had to take at the time was whether, as a result of that intelligence, we could conclude Saddam was in breach of United Nations resolutions, and I concluded he was, and I may say the evidence is that he indeed was in breach of UN resolutions.","[1900, 1920]"
"Under the Liberal Democrat scheme, if the application is rejected, what will happen to that person? Will they be returned? Will they be deported?","[100, 107, 200, 230]"
"First... I'll come to that in a second, but I've talked about how I think we need to convert empty properties, I've talked about how I think we need to give councils the freedom to build new homes, they know the best where homes are needed. I've certainly seen lots of our great city centres, these flats, as I say, which are designed for one person, the private property developers have put up these towers, lots of them are standing empty, they should be made available to families. But I also think there is a role for good old fashioned council houses. I know it's not fashionable these days, but I was very proud when I was up in Newcastle the other day to see the Liberal Democrat council there has started building some council houses again for the first time in 30 years. Because they help as well. They might not help you, Anna, and your family, but the more housing you get in supply, the easier it is for everybody. On the issue of that, I just think there's a funny glitch in the VAT system at the moment that you pay no VAT on new-build on green-field sites, and so on, but if you invest in your own home, you're charged for the full VAT rate. I think it's better just to have an equalised VAT rate on both to encourage you to invest on your home, but perhaps set it at a much lower rate than the top headline rate of VAT.","[100, 107, 1400]"
I'll bring him in after. I just want to...,[]
"I set out my reasons for deciding that we should, on balance, stay within the European Union. I voted to remain. I campaigned to remain. When did you change your mind? The British people were given the choice and the British people decided that they wanted the United Kingdom to leave the European Union.","[1900, 1910]"
"You could be on Fox News, I suppose.",[]
"You cannot end the uncertainty. You cannot end the uncertainty on Brexit if you don't know what the deal is that you want to do. I negotiated our deal. You cannot negotiate a deal if you're neutral on it. It's absolutely inconceivable. And I think it is, I'm afraid to say, a failure of leadership not to have a position on the greatest issue facing this country at the moment. Thank you very much. You cannot get a good deal for this country if you don't believe it. We want to move on. I get to understand how Mr Corbyn proposes to negotiate","[1900, 1910]"
"No, if your question is, am I content with our existing voting system, first-past-the-post, yes I am. We had a referendum on this just a few years ago. The vast majority of people in the country voted to keep it. It's a simple system. It's one that enables you to have a named Member of Parliament in a constituency, someone that you can get to know, go and see, hold to account. And I think that's a good system. It's a system that people all over the world respect, and I want to see that continue. But don't use your vote, because this election is such an important one.",[]
Yeah.,[]
I'm giving you a fact. 8 million people. In academia.,[600]
"Yes, well, ma'am, that's exactly what I want to deliver, because you're right. Illegal immigration is wrong. When people jump the queue and come to our country illegally, it undermines the notion, the sense of fairness that our entire country is built on. And of course, it puts pressure on public services and it causes security issues. But fundamentally, it's wrong and it's unfair. That's why I want to stop it. Now, we've made progress, but in order to fix the problem that you've identified, actually mimicking something that Australia did for a while as well, we need to be able to remove people who come here illegally, send them somewhere else that's safe, because that removes the incentive. You're talking about Rwanda, Prime Minister, yes. That removes the incentive for them to come in the first place. Now, if I'm your Prime Minister, we have flights ready to go that will take illegal migrants to Rwanda. If Keir Starmer is your Prime Minister, the illegal migrants that we've been detained will be out on the streets. They won't be on those planes. We will become the soft touch of Europe just at a time when multiple other European countries are agreeing that our approach is the right approach. And that's what I want to deliver for you as your Prime Minister, if you give me the chance.","[200, 230]"
"I think it will be less than the number of people who come in to the country today, which is, which is about a hundred and fifty thousand, which has gone up three times under Labour, it's tripled under Labour without anybody being consulted. Without anybody being asked ¿","[200, 230]"
"I'm not going to pluck a figure out of the air about the correct level. Well, I assume you've thought about it. Yeah, I've thought about the right thing to do on migration. And we need to have controls on migration. And I've explained some of those controls, but I'm not going to pluck a figure out of the air.","[100, 107, 200, 230]"
I would agree with a lot of what was said there.,[]
"What I am now doing is... Have you changed your mind? I think there are huge opportunities... Have you changed your mind? Jeremy, I know that you have used this tactic and you want... I'm just trying to get an answer.",[]
"Well hang on. We, we won't just talk about things We won't start things and not finish them. We won't pussy foot about, we'll actually do the things we're promising.",[]
"The tax cuts that we announced yesterday... It's just a yes or no. I don't have a forecast for the economy of five years' time, but what I can tell you is stamp duty for first-time buyers, abolished. National insurance for self-employed, abolished. Further cuts for national insurance, the triple lock plus to cut taxes for pensioners. No, but these are the practical tax cuts. that will be delivered, and they'll impact everyone in a slightly different way. But the choice at this election is clear, because I want to keep cutting people's taxes. And look, you did mention the tax burden. I actually can have a second to address that. Of course it's high, but that's because I had to take decisions that were difficult as Chancellor after providing the support that we did during the pandemic for the NHS, for furlough, but also for energy bills. And the reasonable thing to do, the right thing to do for the country, is to make sure that we secure our future and pay that back.","[100, 107]"
"Can I just get a word in, actually?",[]
"Is that proper? Well, I was incredibly angry. Incredibly angry when I learnt about the allegations, as everybody would be when they would hear about something like that.",[]
No.,[]
"Er, not equal.",[]
"..£10 billion in membership fee alone that will easily allow us to build 250,000... It's costing us £290 million a week to leave.","[100, 107, 1900]"
"Listen, Richard is so close to getting the point. He's so close to getting the point.",[]
14 years. We've got one. You haven't got one.,[]
"Well, ma'am... You're absolutely right. Of course migrants can make a contribution to our country and do, like my parents, as you said, like my grandparents. My point is, though, that the levels of migration that we have seen are too high and they need to come down. And that's what we are now doing. If you look at the number of visas that we've issued at the start of this year, it's down by about 30%. The level of net migration is forecast to halve over the next 12 months. And if I'm elected, there will be a legal migration cap that we vote on in Parliament to guarantee that the numbers come down every year.","[200, 230]"
"And your leader couldn't answer it. Penny Mordant, thank you. What are you going to do with illegal migrants that come here? Thank you, Penny Mordant.","[200, 230]"
"Well, there are a number of tax changes we're making. One of the ones is to clamp down on tax avoidance and evasion. And although all the parties are saying that, I think we can say that more credibly because we want to invest £1 billion in her Majesty's revenue and customs.","[100, 107]"
"Angela Rayner, respond directly to that, please. First of all, nobody thinks people should be crossing on small boats and putting their lives at peril. That's why we don't think these gangs should be allowed to do that. That's why we're putting the money into stopping that from happening. And in terms of what we're going to do to support... Sorry, I forgot what your other part of the question was,","[200, 230]"
