id,llm_reasoning,claim_labels
0,Extracted via Regex (JSON was broken),"[1209, 1211, 1207]"
1,Extracted via Regex (JSON was broken),"[100, 107, 1300, 1302, 600, 601, 600, 602]"
2,Extracted via Regex (JSON was broken),"[100, 300, 500, 1300]"
3,Extracted via Regex (JSON was broken),"[100, 107, 100, 105, 100, 105, 100, 1300, 1302]"
4,Extracted via Regex (JSON was broken),"[100, 101]"
5,Extracted via Regex (JSON was broken),"[100, 107, 100, 103, 1400, 1401, 500, 502, 1200, 230]"
6,Extracted via Regex (JSON was broken),"[100, 108, 100, 108, 100, 108]"
7,Extracted via Regex (JSON was broken),"[100, 104, 300, 301, 100, 103]"
8,Extracted via Regex (JSON was broken),"[500, 502, 100, 107, 1300, 1302]"
9,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 500, 502]"
10,Extracted via Regex (JSON was broken),"[1400, 1401, 300, 325, 1300, 1304, 600, 602, 200, 230]"
11,Extracted via Regex (JSON was broken),"[100, 107, 200, 201]"
12,Extracted via Regex (JSON was broken),[1900]
13,Extracted via Regex (JSON was broken),"[1200, 1207, 1200, 1205, 300, 301, 600, 602, 100, 107, 2000, 2011, 1300, 1302]"
14,Extracted via Regex (JSON was broken),"[2000, 2011, 1600, 1609, 1300, 1302, 1600, 1609]"
15,Extracted via Regex (JSON was broken),"[100, 107, 200, 230, 1300, 1302]"
16,Extracted via Regex (JSON was broken),"[1900, 1910, 100, 107, 1600, 1603, 2000, 2011]"
17,Extracted via Regex (JSON was broken),"[100, 105]"
18,Extracted via Regex (JSON was broken),"[100, 108, 200, 207, 1600, 1603]"
19,Extracted via Regex (JSON was broken),"[1200, 1207]"
20,Extracted via Regex (JSON was broken),"[2000, 2011]"
21,Extracted via Regex (JSON was broken),"[100, 105]"
22,Extracted via Regex (JSON was broken),"[1300, 1302, 1400, 1401, 100, 107]"
23,Extracted via Regex (JSON was broken),"[300, 301, 500, 502, 100, 107, 1300, 1302]"
24,Extracted via Regex (JSON was broken),"[500, 502, 100, 105]"
25,Extracted via Regex (JSON was broken),"[1400, 1401, 100, 107, 800, 806, 1300, 1302, 100, 107]"
26,Extracted via Regex (JSON was broken),"[100, 103, 100, 105, 100, 104, 100, 107, 500, 502]"
27,Extracted via Regex (JSON was broken),"[2000, 2011, 100, 101]"
28,Extracted via Regex (JSON was broken),"[2000, 2011, 300, 301, 100, 107, 700, 705]"
29,Extracted via Regex (JSON was broken),"[1900, 1920, 200, 201, 500, 502, 100, 105, 200, 207]"
30,Extracted via Regex (JSON was broken),"[1300, 1302, 1900, 1901, 2000, 2011, 2000, 2012]"
31,Extracted via Regex (JSON was broken),"[100, 105, 100, 107, 300, 301, 500, 502]"
32,Extracted via Regex (JSON was broken),[]
33,Extracted via Regex (JSON was broken),"[1000, 1001, 1000, 1001, 1000, 1001]"
34,Extracted via Regex (JSON was broken),"[1000, 1001, 100, 103, 100, 104]"
35,CRITICAL ERROR: Could not parse JSON,[]
36,Extracted via Regex (JSON was broken),"[100, 101]"
37,CRITICAL ERROR: Could not parse JSON,[]
38,Extracted via Regex (JSON was broken),"[300, 301, 200, 230, 100, 107, 100, 105, 100, 108, 200, 230, 100, 105]"
39,Extracted via Regex (JSON was broken),"[100, 105, 2000, 2011]"
40,Extracted via Regex (JSON was broken),"[100, 108, 1900, 1920]"
41,Extracted via Regex (JSON was broken),"[300, 301, 300, 301, 100, 103, 300, 301, 100, 103]"
42,Extracted via Regex (JSON was broken),"[100, 103, 2000, 2011]"
43,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 1300, 1302]"
44,Extracted via Regex (JSON was broken),"[100, 104]"
45,Extracted via Regex (JSON was broken),"[2000, 2001]"
46,Extracted via Regex (JSON was broken),"[2001, 2011, 1000, 1001]"
47,Extracted via Regex (JSON was broken),"[1200, 1205]"
48,Extracted via Regex (JSON was broken),"[1900, 1909, 100, 105, 100, 104, 1900, 1911]"
49,Extracted via Regex (JSON was broken),"[600, 601, 100, 105]"
50,Extracted via Regex (JSON was broken),"[100, 107, 200, 207]"
51,Extracted via Regex (JSON was broken),"[2000, 2011, 1900, 1920]"
52,Extracted via Regex (JSON was broken),"[2000, 2011, 100, 107, 1300, 1302]"
53,Extracted via Regex (JSON was broken),"[2000, 2001]"
54,Extracted via Regex (JSON was broken),"[2000, 2011, 2000, 2001, 2000, 2012, 2000, 2012]"
55,Extracted via Regex (JSON was broken),"[100, 107, 100, 105]"
56,Extracted via Regex (JSON was broken),"[1900, 1901]"
57,Extracted via Regex (JSON was broken),[2000]
58,CRITICAL ERROR: Could not parse JSON,[]
59,Extracted via Regex (JSON was broken),"[300, 301, 600, 601, 1200, 1209, 100, 105]"
60,Extracted via Regex (JSON was broken),"[1600, 1603, 1600, 1608, 1200, 1207]"
61,Extracted via Regex (JSON was broken),[300]
62,Extracted via Regex (JSON was broken),"[600, 601, 100, 105, 600, 602, 600, 603]"
63,Extracted via Regex (JSON was broken),"[1400, 1401, 100, 105, 1300, 1302]"
64,Extracted via Regex (JSON was broken),"[100, 103, 500, 502, 300, 301, 100, 107]"
65,Extracted via Regex (JSON was broken),"[100, 107, 100, 105, 100, 107, 1600, 1603]"
66,Extracted via Regex (JSON was broken),"[2000, 2011, 100, 101]"
67,Extracted via Regex (JSON was broken),"[100, 107, 600, 601, 1300, 1302]"
68,Extracted via Regex (JSON was broken),"[2000, 2011, 100]"
69,Extracted via Regex (JSON was broken),"[200, 230, 100, 105]"
