ID,Text,Claim_Labels,Stance_Label
0,"So knife crime's going to go up, because the evidence is there, Carla. Reduce stop-and-search, knife crime soars. No, it doesn't.","1200, 1211",1211-support
1,"Of course Gordon Brown's right to say there's a link. Michael, you know this better than we do. You know there's a link between poverty at home and underperformance in the classroom. It's that link which is holding back so many children. That's what's unfair. That link is the link that I want to help solve. We would do it partly through the tax proposals I've talked about earlier, giving people £700 back in their pocket by raising the income tax threshold to £10,000 so that people on ordinary incomes who aren't being helped at the moment are helped. And through our proposal, we call it - it's a slightly technocratic phrase - we call it a pupil premium. It basically means extra money, £2.5 billion. That would, for instance, allow our schools to reduce the average class size in an average primary school down to 20. I have three young children. Two of them go to a local school, at eight and five. I see myself as a father that what happens to a young child in a reception class, years one, two and three, is so important in developing their self-confidence, their social skills, their willingness to learn. Get it right at that early age, and we can really help people later in life. That's what I believe in.","100, 107, 1300, 1302, 600, 602, 603, 1200, 1208","107-against, 602-support, 603-support, 1302-support"
2,"You won't admit the truth, will you? The truth is there's nothing we can do.",None,None
3,"I tell you how we pay for it. We would, for instance, stop the huge unfair loopholes that only benefit the very wealthy at the top of the tax system. At the moment, the top 10% earners in this country get twice as much tax subsidy from all of the rest of you when they make contributions to their pension pot than everybody else. We say give people tax relief on their pension contributions, but make sure that they are the same and use that money so that no-one pays any income tax on the first £10,000 they earn.","100, 107, ",107-against                         
4,"You just, look, there's no point in speculating about that at the moment, cos we're a long way off taking the decision.",None,None
5,"I'm just talking numbers. We haven't even mentioned housing yet. Oh, no, I ignore that nonsense. Complete nonsense. I'm just talking pure facts. Housing. We have to build one new home every two minutes just to cope with legal net migration under this Conservative government. It is literally impossible. And as for the numbers coming in, I would respond to this. 50% of the three quarters of a million who are coming in a year are dependents. They're not wealth creators. And mass migration is making us poorer. You'll hear, oh, GDP's going up. Well, of course it is. There are more people. GDP per capita, our relative wealth, has declined for the last six consecutive quarters.","1400, 1401, 500, 529, 100, 199","1401-support, 529-against"
6,"We need strong big business in this country. We do, and one thing, can I just come in on that David? Yes, yes. But one thing I think business needs, and again this is a difference of view, I think we need to stay within the European Union. Because I think it would be a disaster for our businesses. I mean, give David Cameron credit, he believes in us staying in the EU, but I'm afraid he's being dragged by his party to exit from the EU. Now again, I've got to say to this audience, I've got to say to this audience, I think that would be a real problem for our country.","1800, 1806, 1900, 1910",1910-support
7,"have to spend money wisely. Folks, I've explained to you, we've massively increased over the last few years the percentage of the national cake we put into the NHS for a worse return. Does nobody else acknowledge we need to spend the money better?","300, 301, 100, 105","301-support, 105-against"
8,"Let me perhaps draw out one of them. David Cameron keeps repeating we've got nothing to say. We're the only party, actually, in this general election campaign who've got a plan fully costed to get people off benefits and into work. That's been independently recognised. I think it's a general... It's almost a philosophical issue here. Do you think the best way to help people who are vulnerable or poor is to constantly giving them more benefits through greater dependency on the state? Or do you provide incentives to let them help themselves where they can? That is what our very, very radical tax switch, so you keep more money when you start working, would precisely do - it would get people off that benefits dependency into work. I think that's what most people agree is the absolute priority these days.","1300, 1302, 100, 107","1302-against, 107-against"
9,"Well, we won't be able to do anything unless we win the election. We've obviously only been in opposition so far. I have been frustrated, if I'm honest, that these strikes have gone on as long as they have gone on. The strikes are very bad for patients. People are very anxious about the strikes. I don't think doctors want to be on strike. As I said earlier, my wife works in one of the big London hospitals, so I know first-hand and relayed every night, pressure that NHS staff are under. It's been unrelenting during Covid, unrelenting now because of waiting lists. So what we would do is instead of arguing about who gets in the room first to negotiate with the doctors, we would roll up our sleeves in a grown-up way, get in the room and settle this dispute so that patients can get the care they need. Doctors can get back to work, and the country can move forward, because we can't go on like this anymore. And the sooner we have a bit of grown-up politics in this, the better, I think, because we absolutely need to move forward as a country.","500, 504, 300, 325","504-against, 325-against"
10,"So Scotland has a migration problem. The problem is we don't have enough migrants because Scotland has a declining working age population. So we need people to come. And you know what? I am genuinely fed up going to speak to businesses. going to speak to health care workers, going to speak to people in our social care sector, in our schools and beyond, who say that they need more colleagues. Businesses who want to expand, who need people to come and work with them and for them. That's why I'm in favour of migration. And this race to the right that is happening in Westminster is so, so wrong. We can do better. We must demand better, not just from the Tories, but from the Labour Party too. And the SNP will always do that.","500, 529",529-support
