ID,Text,human_labels,id,llm_labels,masi,error_type
0,"So knife crime's going to go up, because the evidence is there, Carla. Reduce stop-and-search, knife crime soars. No, it doesn't.","{1200, 1211}",0,"{1200, 1211, 1206}",0.5533333333333333,Over-tagging
1,"Of course Gordon Brown's right to say there's a link. Michael, you know this better than we do. You know there's a link between poverty at home and underperformance in the classroom. It's that link which is holding back so many children. That's what's unfair. That link is the link that I want to help solve. We would do it partly through the tax proposals I've talked about earlier, giving people £700 back in their pocket by raising the income tax threshold to £10,000 so that people on ordinary incomes who aren't being helped at the moment are helped. And through our proposal, we call it - it's a slightly technocratic phrase - we call it a pupil premium. It basically means extra money, £2.5 billion. That would, for instance, allow our schools to reduce the average class size in an average primary school down to 20. I have three young children. Two of them go to a local school, at eight and five. I see myself as a father that what happens to a young child in a reception class, years one, two and three, is so important in developing their self-confidence, their social skills, their willingness to learn. Get it right at that early age, and we can really help people later in life. That's what I believe in.","{100, 107, 1200, 1300, 1302, 600, 602, 603, 1208}",1,"{200, 201, 107, 100}",0.94,Mixed/Mismatch
2,"You won't admit the truth, will you? The truth is there's nothing we can do.",set(),2,set(),0.0,Perfect
3,"I tell you how we pay for it. We would, for instance, stop the huge unfair loopholes that only benefit the very wealthy at the top of the tax system. At the moment, the top 10% earners in this country get twice as much tax subsidy from all of the rest of you when they make contributions to their pension pot than everybody else. We say give people tax relief on their pension contributions, but make sure that they are the same and use that money so that no-one pays any income tax on the first £10,000 they earn.","{107, 100}",3,"{105, 107, 100}",0.5533333333333333,Over-tagging
4,"You just, look, there's no point in speculating about that at the moment, cos we're a long way off taking the decision.",set(),4,set(),0.0,Perfect
5,"I'm just talking numbers. We haven't even mentioned housing yet. Oh, no, I ignore that nonsense. Complete nonsense. I'm just talking pure facts. Housing. We have to build one new home every two minutes just to cope with legal net migration under this Conservative government. It is literally impossible. And as for the numbers coming in, I would respond to this. 50% of the three quarters of a million who are coming in a year are dependents. They're not wealth creators. And mass migration is making us poorer. You'll hear, oh, GDP's going up. Well, of course it is. There are more people. GDP per capita, our relative wealth, has declined for the last six consecutive quarters.","{100, 199, 529, 500, 1400, 1401}",5,"{100, 230, 200, 105, 201, 1400, 1401}",0.901,Mixed/Mismatch
6,"We need strong big business in this country. We do, and one thing, can I just come in on that David? Yes, yes. But one thing I think business needs, and again this is a difference of view, I think we need to stay within the European Union. Because I think it would be a disaster for our businesses. I mean, give David Cameron credit, he believes in us staying in the EU, but I'm afraid he's being dragged by his party to exit from the EU. Now again, I've got to say to this audience, I've got to say to this audience, I think that would be a real problem for our country.","{1800, 1910, 1900, 1806}",6,"{108, 100}",1.0,Mixed/Mismatch
7,"have to spend money wisely. Folks, I've explained to you, we've massively increased over the last few years the percentage of the national cake we put into the NHS for a worse return. Does nobody else acknowledge we need to spend the money better?","{100, 105, 300, 301}",7,"{105, 100}",0.665,Under-tagging
8,"Let me perhaps draw out one of them. David Cameron keeps repeating we've got nothing to say. We're the only party, actually, in this general election campaign who've got a plan fully costed to get people off benefits and into work. That's been independently recognised. I think it's a general... It's almost a philosophical issue here. Do you think the best way to help people who are vulnerable or poor is to constantly giving them more benefits through greater dependency on the state? Or do you provide incentives to let them help themselves where they can? That is what our very, very radical tax switch, so you keep more money when you start working, would precisely do - it would get people off that benefits dependency into work. I think that's what most people agree is the absolute priority these days.","{100, 107, 1300, 1302}",8,"{105, 100, 1300, 1302}",0.802,Mixed/Mismatch
9,"Well, we won't be able to do anything unless we win the election. We've obviously only been in opposition so far. I have been frustrated, if I'm honest, that these strikes have gone on as long as they have gone on. The strikes are very bad for patients. People are very anxious about the strikes. I don't think doctors want to be on strike. As I said earlier, my wife works in one of the big London hospitals, so I know first-hand and relayed every night, pressure that NHS staff are under. It's been unrelenting during Covid, unrelenting now because of waiting lists. So what we would do is instead of arguing about who gets in the room first to negotiate with the doctors, we would roll up our sleeves in a grown-up way, get in the room and settle this dispute so that patients can get the care they need. Doctors can get back to work, and the country can move forward, because we can't go on like this anymore. And the sooner we have a bit of grown-up politics in this, the better, I think, because we absolutely need to move forward as a country.","{504, 500, 325, 300}",9,"{300, 301}",0.9339999999999999,Mixed/Mismatch
10,"So Scotland has a migration problem. The problem is we don't have enough migrants because Scotland has a declining working age population. So we need people to come. And you know what? I am genuinely fed up going to speak to businesses. going to speak to health care workers, going to speak to people in our social care sector, in our schools and beyond, who say that they need more colleagues. Businesses who want to expand, who need people to come and work with them and for them. That's why I'm in favour of migration. And this race to the right that is happening in Westminster is so, so wrong. We can do better. We must demand better, not just from the Tories, but from the Labour Party too. And the SNP will always do that.","{529, 500}",10,"{529, 500, 1300, 1302}",0.665,Over-tagging
11,The reality is the SNP can't do just the same as Tory does. On the point of the anti-austerity motion that Ed Miliband talks about...,set(),11,"{105, 100}",1.0,Hallucination (False Positive)
12,I believe in making a success of Brexit.,"{1900, 1910}",12,set(),1.0,Missing (False Negative)
13,"Thank you, Julie, and everyone watching tonight. Firstly, I want to express my condolences to everyone affected by Friday's attack. This atrocity should give us all pause for thought. None of us yet know the full details, so politicians should avoid knee-jerk responses. But we do know that our justice system has been hollowed out. Violent crime is up. Our prison's in crisis. Our police overstretched. Listen to nurses and they'll say the same about our National Health Service. Teachers the same about our schools. Deep cuts to vital public services. The fabric of our communities. Happened at the same time the government made huge tax giveaways to the richest few and to big business. Labour will make very different choices. We will be on your side, rebuilding our country for the many, not the few.","{1600, 100, 105, 107, 1200, 1205, 1627}",13,"{100, 103, 200, 201, 1300, 1302}",0.9725,Mixed/Mismatch
14,"What happened was completely wrong and the Prime Minister has rightly apologised for that, apologised to veterans but also to all of us because he was representing all of us. I'm from Portsmouth, I've also been Defence Secretary and my wish at the end of this week is that all of our veterans feel completely treasured. And I'm hoping tonight to convince you of some things that are important to them, important to their legacy. And I couldn't do that if I wasn't straight with you on that issue.","{1600, 1609}",14,"{1600, 1609}",0.0,Perfect
15,"I would like to see a levelling upwards when it comes to fairness, because what I'm deeply worried about is the kinds of rules, for example, that will break up families, that will end up in things like immigration detention, that has things like a minimum income rule. I think all of those are deeply unfair. Family reunion ought to be supported, so we need fair immigration rules.","{200, 529, 500, 230}",15,"{200, 201, 107, 100}",0.9528571428571428,Mixed/Mismatch
16,"No, I voted for remain. I wanted to remain, but now we've left and there's no going back. But... Sorry? No, I'm not. No, that is not our policy. Never has been our policy. I voted for remain, but we voted to leave. We're out. I accept that. We're not going back. Do you not see here... But we do need... We've got a very botched deal. If you talk to any business that's trying to trade, they will tell you it's not good enough. I think we can do more on defence and security, by the way, with our European partners. But we're not going back in. We're not going back into the single market, the customs union, and we're not going back to freedom of movement. That is very, very clear and set out in our manifesto, because we did have a referendum, it split us down the middle, and we do not want to go through that again. But you can see why.","{1800, 1900, 1910, 1806}",16,"{1600, 1900}",0.9339999999999999,Mixed/Mismatch
17,Tell me how you're going to balance the books.,"{105, 100}",17,"{105, 100}",0.0,Perfect
18,"But you said that you had a point about the policy. I'm just telling you, I disagree with you. 15 other European countries just a few weeks ago decided that they agree with me. Did the Supreme Court call it unlawful? Well, I've been crystal clear, and that's why we've passed a new piece of legislation to address the concerns of our court, because I respect our court. They raised concerns, that's why we passed a new piece of legislation, and that's why their flights will now go if I'm Prime Minister. And when it comes to the ECHR, I am crystal clear. I believe everything that we are doing is in compliance with our international obligations, but if a foreign court, including the European Court, forces me to choose between our country's national security and membership of that court, I'm going to choose this country's national security every single time.","{1900, 1926}",18,"{100, 200, 105, 201, 1900}",0.945,Mixed/Mismatch
19,"And there'd be more refugees then, yeah?","{200, 230}",19,"{200, 1900, 230}",0.5533333333333333,Over-tagging
20,Greens holding you to account on that in the Parliament. Doing a good job.,"{2000, 2011}",20,set(),1.0,Missing (False Negative)
21,"You voted for the Bedroom Tax nine times, are you proud about that as well?","{1400, 1406}",21,"{1400, 1401}",0.89,Mixed/Mismatch
22,"No, no, no. What I do think we need to do is we've got to provide more council housing and more social housing, but to restore people's trust, I think it has to be done by local councils and it must be for local people.","{1400, 1406}",22,"{1400, 1401}",0.89,Mixed/Mismatch
23,"I want to thank you for watching tonight. A vote for Labour is a vote for hope. We are the party that created our NHS, introduced the minimum wage and will end NHS privatisation, introduce a living wage of at least £10 an hour and end the scandalous crisis in social care that leaves 1.5 million older people without the care they need. A Labour government will support you and invest in your community. We are on your side. Let's bring real change to our country so that it works for the many, not the few. Vote Labour on the 12th of December.","{1300, 300, 301, 1303}",23,"{108, 100, 1300, 1302}",0.9528571428571428,Mixed/Mismatch
24,"You've just admitted, if the population's growing by 2.5 million people in the last three years alone, you haven't got a labour shortage. You've got to make work pay, you've got to train your own people. We haven't got a people shortage. There's no labour shortage. Does anyone else agree there's no labour shortage? We haven't got a people shortage, but too many people, work doesn't pay.","{529, 500}",24,"{100, 500, 502, 103}",0.9339999999999999,Mixed/Mismatch
