,id,reasoning,supercategories,claim_labels,watch_labels,text
0,346,The excerpt discusses the need for increased funding for social care and the potential for cost savings through better allocation of resources. It also mentions raising taxes to fund these improvements.,"[100, 1300]","[100, 105, 107, 1300, 1302]",[1302],"I've never been called timid in my life, but coming back to the point that Nigel made, and Daisy was making the same point, look, I was a home care worker. We gutted out home care services. It costs so much more money now that people are stuck on trolleys in A&E for 40 hours plus. These are our elderly relatives. that are treated really poorly, and it costs us more money. So if we put the money in the right place, we can actually make savings. I did that when I was a home care and trade union rep. I know we can do it again. But at the moment, we're hemorrhaging money because the money is being used in the most inappropriate way, and people are not getting the care they deserve. That's my question. All right, thank you very much indeed for that. But Angela, I'm just going to raise your taxes. Thank you."
1,347,"The excerpt discusses the release of a terrorist and the need for security measures. It touches on the need for risk assessment,  lessons to be learned, and the desire to avoid ""draconian"" changes in the law. This points to discussions around security, terrorism, and potentially civil liberties.","[1200, 1600]","[1200, 1205, 1600, 1627]",[1205],"Well, Darren, in answer to your question, obviously it's wrong that that was able to happen. No terrorist should be released without it being properly assessed whether or not they still pose a risk to the public. So somebody like that just should not have been on our streets. clearly these questions need to be asked. We need to learn the lessons of this instance. I think we also need to listen very carefully to the loved ones because there are families who are grieving and mourning and the father of Jack Merritt I think was very powerful in what he said which was His son wouldn't have wanted this to be used as a pretense for some kind of draconian change in the law and I think we do need to listen to those loved ones too."
2,350,"The text discusses the future of the oil and gas industry, mentioning different political stances on the issue. The Conservative Party's stance is presented as believing oil and gas will be around forever, while the Labour Party wants to shut down the North Sea oil and gas sector. The SNP advocates for a middle ground that balances net-zero goals with job protection.  The mention of ""tax"" is not explicit, and the text focuses on the future of the industry rather than specific tax policies.","[800, 100]","[100, 101, 800, 803]","[803, 101]","And I was actually just going to come to that, helpfully enough, because what Angela has said there in relation to oil and gas, so there's three positions at the moment. There's a Conservative Party position that oil and gas is going to exist forever. I'm afraid it's not, and I can say that with some certainty given where, of course, I live. The Labour Party position is to shut down the North Sea oil and gas sector, which would risk 100,000 jobs. Not my numbers, independent experts in what the Unite Union call putting people on the scrap heap. There is a sensible middle ground which allows us to invest in net zero, protect the jobs of tomorrow, and that's what the SNP are focused on."
3,353,"The text explicitly discusses the beliefs of a specific religious group (Muslims) and their potential incompatibility with British values. It also mentions ""Sharia law"" and ""jihad,"" which are often associated with religious extremism and discrimination.","[200, 1900]","[200, 201, 1900, 1907]","[201, 1907]","I know many Muslims, but the reality is the Henry Jackson survey with J-O partners showed that in 18 to 24 years over 20% believe in jihad. Almost 50% didn't think that people, that Jewish people... And what do Muslim friends you're talking about think about? Almost 50% didn't think that Jewish people were raped and murdered on October the 7th. And I just don't think those represent British values. If you believe in jihad, if you want Sharia law in the United Kingdom, that's not who we are."
4,355,"The text discusses reducing the cost of living for people through measures like reducing VAT and council tax. It also mentions increasing people's income through a ""real living wage"".  There is also a reference to the Tories' ""joking living wage"", which implies a discussion about social welfare and potentially a critique of existing policies.


```json","[100, 1300]","[100, 107, 1300, 1302]",[1302],"Well there is the question of wages and benefit freezes, but also we need to think about how costs can be reduced for people. So the point about rent is a fair one. There's also costs like council tax, VAT on goods could be reduced to make some things easier for people potentially. So we just need to be thinking about how we A, reduce people's costs but also increase people's income and the real living wage, not the joking living wage that the Tories have introduced previously, the real living wage is the way to do that."
5,357,"The excerpt discusses the potential for a Scottish independence referendum and the UK government's response to the results. This primarily falls under the category of political processes and governance, with a secondary focus on Scottish autonomy.",[2000],"[2000, 2001]",[2001],"Well, what I want to make sure, and it's really related to the point that I answered Sam about a moment ago, is that the legitimate decisions of the people of Scotland in the election in 2021, when a Scottish Parliament was elected with a majority of members favouring independence and a referendum, that that can actually be respected by the United Kingdom government."
6,360,The text discusses a plan to address child poverty and criticizes politicians who make promises they don't keep. This implies a focus on social welfare and potentially touches on the topic of government accountability.,"[1300, 2000]","[1300, 1302, 2000, 2012]",[1302],"And we will have a strategy for child poverty. But I think people are fed up with politicians who, before the election, say, we'll do everything. And then after the election, they don't deliver. So I've taken a decision, which is before the election, I'm going to tell you what we can't do, even though some of these things are good things to do."
7,364,"The text discusses the Chief Rabbi's fear for his community if Jeremy Corbyn were elected, which implies concerns about racism and discrimination against Jewish people. Additionally, the speaker mentions investigations and apologies from candidates, hinting at potential scandals or misconduct.",[200],"[200, 201]",[201],"Sorry. Please. Very quickly, all those candidates have either apologised or are now subject to investigation. And, you know, I don't want to unnecessarily draw comparisons with the Labour Party, but I do think it extraordinary that in this election we've heard for the first time in history the Chief Rabbi say that he fears for his community in this country were Mr Corbyn to be elected. And I think it's a quite extraordinary state of affairs."
8,365,"The excerpt discusses the impact of regulations on businesses and highlights the positive economic outcomes in areas governed by the Liberal Democrats.  There is a mention of ""tax cuts"" which falls under the 100 category.",[100],"[100, 108]",[108],"No, I would consider other things in terms of red tape and bureaucracy that are stifling so much of business at the moment to be worthy of the term, sun setting on business. Now that's going to be our approach. Look, we're sitting in a city here in Liverpool, great city, run by Liberal Democrats, and one of the things you hear every visit I make to this city, you hear business, who for years operated under municipal leadership for Labour, saying thank goodness we've got the Liberal Democrats on the city, it's prospering, you just need to look at the construction going on. That's because where Liberal Democrats have power, we work sensibly with the business community."
9,374,"The text discusses a potential increase in income tax to fund the NHS, which falls under the macroeconomics category. There is also a mention of the ""dementia tax,"" which could be interpreted as a reference to social welfare policies.  The speaker also makes a disparaging remark about the Prime Minister, which touches on government operations.


```json","[100, 1300, 2000]","[100, 107, 1300, 1302, 2000, 2012]",[1302],"Well, look, you've heard my arguments. I'll give you the final say over the Brexit deal. I will put a penny on income tax for the NHS. And I will stand up to the Conservatives over the dementia tax and everything else. Now, Amber Rudd is up next. She is not the Prime Minister. The Prime Minister is not here tonight. She can't be bothered. So why should you? In fact, Bake Off is on BBC Two next. Why not make yourself a brew? You are not worth Theresa May's time. Don't give her yours."
10,375,"The text discusses the issue of Islamist extremism, referencing specific groups and their interpretations of Islamic texts. It also touches upon the need for increased police presence and addressing funding sources for radical mosques.","[1600, 1200]","[1200, 1202, 1209, 1211, 1600, 1627]","[1202, 1211]","I'm glad you did mention the word Islamist and Islamism because this is the root of the problem and we have to be honest about that and this is an ideology, it's an idea and there are some writings, Islamic writings that are problematic. We have to admit that. There are some writings that appear to advocate violence. And Nadeem, you mentioned the Ahmadiyya Muslims earlier. I'm glad you mentioned them because they are a very peaceful group of Muslims and they practice Islam in a very peaceful way. But we do have Wahhabis, Salafists and other groups that I would call Islamists who would take all of these writings which are problematic and say that they have to be applied literally in all times and all places. not just 7th century Arabia, but 21st century Britain and France and Germany and Russia. And everywhere else there have been Islamist terrorist attacks. And we need to deal with the problem. And we do need to put police back on the street. As Brian said, I would agree, we need 20,000 more police to do community policing because that's a big hole that's been left after the 20,000 police that have been cut. But we do need to deal with Saudi Qatari funding of Wahhabi and Salafist Islamist mosques. and to stop the radicalisation."
11,376,"The text discusses immigration policy, including the treatment of work visa holders and asylum seekers. It also touches on the impact of immigration on public services and the economy.","[200, 500]","[200, 201, 500, 529]","[201, 529]","First of all, reflecting back to what Nigel Farage said, how cold-hearted do you have to be to not want people who are coming here on work visas to be able to bring their husbands or wives or infant children with them? You would not want to cut immigration? The Green Party takes a totally different approach to immigration. When it's hard to get an affordable home, when it's hard to access public services like a GP, when the roads are poorly maintained, I can absolutely understand, Lorenzo, why you're angry about these things. I am too. But I am clear that the reason for these services being run into the ground is not people coming here, whether they're coming here fleeing violence and persecution as asylum seekers, or whether they're coming here to work in many of our understaffed sectors like health and social care. If you meet a migrant in the NHS, they're more likely to be treating you as I was the last time I saw a GP than being ahead of you in the queue. Migration's been a good thing for this country and so in the Green Party our immigration policy is not about arbitrary numbers. That's why we're not talking about caps. Instead it's about making our immigration system fairer and more humane."
12,377,"The excerpt discusses the need for action on biodiversity and nature, highlighting issues like road schemes impacting sites of scientific interest, HS2's path through ancient woodland, pesticide use, and a general lack of care for the natural world.  These points clearly fall under the environmental policy domain.",[700],"[700, 701, 703, 705]","[701, 703]","Well, we're very, very behind on biodiversity and nature. I mean, credit to the movement, first of all, for getting this debate heard and for bringing climate change and new targets forward through so many motions, through councils, starting with Carla Denyer in Bristol, but now there's 389 climate and ecological emergency motions passing through councils. A lot of them were 2030 as their target. But it's the ecological stuff where we're behind. I have far too much trouble, I've spent years trying to argue against road schemes that are going to go straight through. sites of scientific interest. I've got HS2 going through ancient woodland. People have been very, very careless of our natural world. I have too much trouble getting councils off pesticides. We've got resistance from some farmers to using pesticides. We have to think more carefully about the actual world. I'm looking for your actual talk. I mean, Nicola Sturgeon. And this is something where we're very, very far behind."
13,378,"The text discusses the shift from fossil fuels to renewable energy, highlighting the need for a just transition that considers the impact on jobs and communities. This primarily falls under the category of energy policy with a secondary focus on social welfare due to the emphasis on a ""just transition"" and avoiding the mistakes of past deindustrialization.

```json","[800, 1300]","[800, 806, 1300, 1302]","[806, 1302]","We are in the transition away from fossil fuels and that transition has to accelerate. Scotland is one of the most renewable energy rich countries in the world. If we were to stop tomorrow, in terms of oil production. We would make ourselves more reliant on imports. The carbon intensity would increase. So that transition has got to be done in a way that cuts our emissions. But the one other thing that's not been mentioned here right now, which is where we've taken action and other countries haven't, is about the justice of the transition. not doing this in a way that leaves people behind, that decimates people's jobs. We have a just transition commission that's looking at how we do this transition fairly and justly. And that's really important as well. I grew up in the west of Scotland in the 1980s. I saw the effects of deindustrialisation and leaving people behind. The legacy of that is still there in too many of our communities and we can't make that mistake again."
14,379,"The excerpt discusses issues of economic inequality, poverty, and social security benefits. There are explicit mentions of poverty rates, the living wage, and the freeze on working-age benefits. These points directly relate to the code categories of 100 (Macroeconomics), 1300 (Social Welfare), and potentially 500 (Labour and Employment).


```json","[100, 1300, 500]","[100, 103, 500, 508, 1300, 1302]","[508, 1302, 103]","I think this is, and certainly should be, one of the biggest issues in this election. Experts say inequality is now rising at a faster rate than any time since the days of Margaret Thatcher. I was reading a report yesterday that says by 2021 the incomes of the poorest third in society will have fallen poverty. That will take the total to 5 million. The equivalent of the population of Scotland across the UK of children living in poverty. It is obscene. So what do we do about it? Well, Tim is right, we need to do something about it. We need to do something about it. We need to do something about it. We need to do something about it. We need to do something about it. make sure we don't damage the economy by coming out of the single market. I would also want to see the minimum wage over the next Parliament start to rise in line with the living wage so it becomes a real living wage. And I tell you what else I would do, I would end the freeze on working age benefits because social security cuts are penalising the poorest in our society, many of them working. Let's bring some decency back to the social security system of this country."
