start	end	text
37409	41256	Welcome to Cameron and Miliband live, the battle for number 10.
41917	42378	Good evening.
42799	49431	Tonight sees the first big election test for two men, one of whom will be the UK's next prime minister.
50032	56424	David Cameron and Ed Miliband are the only people with a genuine chance of forming the next government.
56444	58708	Tonight, we'll see what they're made of.
60038	69049	Over the next 90 minutes, both men will face Jeremy head-to-head, and they'll also answer the questions of our studio audience.
69069	76297	Running quickly through the order of play, David Cameron will be interviewed by Jeremy, then join me to take questions from our audience.
76518	82705	After that, Ed Miliband will face questions from the studio, and we finish with his head-to-head with Jeremy.
82685	83886	So, let's get to it.
83906	85088	The election starts here.
85828	91334	And now, first up, the Prime Minister and leader of the Conservative Party, David Cameron.
103847	108372	David Cameron, do you know how many food banks there were in this country when you came to power?
108571	118186	I don't have the exact figures but I know that usage of food banks has gone up and there are many amazing volunteers who man those food banks and provide an important service.
118207	121372	There were 66 when you came to power, there are now 421.
121392	129685	900,000 people took food parcels last year, free food parcels.
130947	133391	You talked about broken Britain and fixing it.
133871	134312	You haven't.
134372	135874	It's more broken now than it was.
136034	137356	Well, I don't accept that.
137376	144627	Because if you look at what's happened with our economy, there are 1.89 million more people in work than when I became prime minister.
144667	147571	We've got 900,000 fewer people on out-of-work benefits.
147591	148973	Is there an increase in food banks?
148953	149934	a mark of success?
150035	152899	Look, obviously there has been an increase in food bank use.
152959	156544	That's partly because of the difficulties we faced as a country.
156785	159509	It's also, Jeremy, because we changed the rules.
159589	164836	The previous government didn't allow job centres to advertise the existence of food banks.
164856	166379	They thought it would be bad PR.
166679	167961	I thought that was a wrong decision.
168061	169203	I thought it was a poor decision.
169523	173109	So we allowed them to point people towards food banks if they needed them.
173129	177475	But look, the big picture is here, is we want to get more people back to work.
177455	181359	We've turned the economy around, and it's jobs that are the best route out of poverty.
181379	188345	Is it acceptable in a rich country like ours that there are that number of people depending on free food aid?
188625	194771	Obviously, I want fewer people to be using food banks, and I want more people to have the security of a job.
195171	199295	But we have created 1,000 jobs for every day this government's been in office.
199355	200756	Now, that's a statistic.
200776	207462	But behind that statistic are people who are able to provide for their families, who are earning a wage, who are able to build a better
207442	210739	How many of those jobs are zero-hours contracts?
210759	214397	About one in 50 jobs are zero-hours contracts.
215322	217706	Could you live on a zero-hours contract?
218246	218847	No.
219689	224676	Some people choose a zero-hours contract, for instance, students, because they want the flexibility.
224696	225518	But what we did is...
225818	226439	Hold on a second.
226860	234291	We outlawed, first government to do this, the idea of exclusive zero-hours contracts where you can only work for one business.
234311	236414	So we passed a law saying that shouldn't happen.
236775	237756	But it is a myth.
237916	241862	Some people want to say the jobs that have been created are all low-paid jobs.
241922	242804	That's not true.
242884	243845	No-one's saying that.
243865	244266	I'm not saying that.
244246	246170	The hint you're trying to give is that...
246651	250840	I'm saying there are 700,000 people on zero-hours contracts.
251161	252784	Could you live on one?
252844	256192	Look, as I said, some people... Could you live on one?
256212	261784	I want to create a country where more people have the opportunity of the full-time work that they want.
262044	263908	Could you live on a zero-hours contract?
263888	265790	Look, that's not the question.
265851	268234	The question is... Well, it's the question I'm asking.
269015	271418	Yeah, but the point is, some people choose a zero-hours contract.
271438	277385	If you're a student, for instance, and you want to do some part-time work, a zero-hours contract can work for you.
277706	279648	That's why we haven't outlawed them altogether.
279688	282792	What we've outlawed is exclusive zero-hours contracts.
282832	285716	And no, I couldn't live on one of those, and that's why we outlawed them.
285736	291263	But the person... For example, a colleague of mine this morning spoke to a man in the North East, Patrick.
291243	294848	he walks four hours to and from work.
294888	302259	When he gets there, he doesn't know whether he's on for one hour or two hours, or if he's lucky, longer, and then he has to walk home again.
302699	304702	He gets £6.75 an hour.
305083	308328	He works between eight and 12 hours a week on average.
308908	311412	Now, is that any way to live?
311392	317985	I want more people to have full-time work and that is what is happening in our economy.
318527	319468	It has been difficult.
319789	326122	We have had a very difficult few years following the longest and deepest recession virtually in our country's history.
326382	327645	We are coming out of that
327625	330632	We created 1.89 million new jobs.
330652	331895	That's 1,000 a day.
332236	335745	The majority of those have been full-time jobs, not part-time jobs.
336186	339494	Most of them have been in relatively well-paid occupations.
339955	344065	Only one in 50 jobs is a zero-hours contract, and some people
344045	345066	choose those contracts.
345086	350470	But if you ask me, do I want more people to have the dignity and security of work and a regular wage?
350631	350931	Yes.
351191	352692	Do I want a higher minimum wage?
353053	353353	Yes.
353493	358797	And we've seen the minimum wage increase now above inflation for the first time in many years.
359178	362861	And I want to see that minimum wage go through £7 on to £8.
363081	367965	And crucially, Jeremy, in terms of what the government can do, we have cut taxes.
368025	373950	So we've taken the 3 million lowest paid people in our country out of income tax altogether.
373930	378414	so you can earn now £10,600 before you start paying income tax at all.
378755	381377	I think that is vitally important, and that's been the priority for the government.
381397	383859	But to be clear about this, you couldn't live on a zero-hours contract.
383879	387643	This is one of the things people really find problematic about you.
387683	389805	I'm going to be personal, if I may, for a second.
390185	390345	You can.
390365	400495	It is that you would choose, for example, to appoint a man who oversaw tax avoidance as a minister in your government, another rich person.
401099	413404	that you would choose to appoint to the heart of government a rich newspaper editor whose newspaper hacked people's phones, that you choose to defend a rich television presenter who thumps a colleague.
413905	416931	Now, what do you have in common with all these very rich people?
416911	422217	Let's take these in turn, because I think that is completely unjustified.
422257	425440	Let's take Stephen Green, who was head of HSBC.
425841	430686	He had been appointed by my predecessor, Gordon Brown, to run his business advisory council.
431087	440337	I appointed him as a trade minister in a move that was welcomed across the political spectrum, across British industry, as someone who had run a bank responsibly.
440317	444644	I don't know whether there was wrongdoing subsequently at HSBC.
444664	445205	We'll have to see.
445225	447529	But nobody criticised that appointment at the time.
447549	448230	Did you ask him about it?
