id,claim_labels
0,"[1200, 1209, 1207]"
1,"[600, 603, 500, 508, 1000]"
2,[]
3,"[1500, 107, 105, 101]"
4,[]
5,[]
6,"[1500, 1800, 1900, 1600]"
7,"[100, 105, 301]"
8,"[500, 505, 507, 107]"
9,"[300, 301, 325, 331, 334, 1000, 1001, 200, 230, 500, 502, 508, 1000, 1001]"
10,[]
11,"[100, 105, 200, 201]"
12,"[1900, 1803]"
13,[]
14,"[1600, 1609, 2000, 2011]"
15,"[200, 230, 1207, 1208, 1209]"
16,"[1900, 1803, 1603, 1000, 1002, 1006, 200, 230, 500, 508, 1200, 1203, 1205, 1300, 1401, 1406, 1501, 1608, 1610, 1803, 1901, 1910, 2011, 2032]"
17,"[100, 105]"
18,"[200, 201, 1907, 1603, 1000, 1001, 1002, 1003, 1005, 1006, 1608, 1609, 1610, 1920, 2001, 2011, 2012, 2032]"
19,[]
20,[]
21,"[100, 105, 101]"
22,"[1401, 1302, 1406]"
23,[]
24,"[500, 502, 503, 505, 506]"
25,"[1401, 800, 807, 1401, 1406, 1407, 1409, 1406]"
26,"[100, 101, 103, 105, 107, 108]"
27,"[2001, 2011, 2012, 1000, 1006, 500, 506]"
28,[]
29,"[200, 201, 207, 208, 1200, 1203, 1209, 1207, 1208, 2011, 2012]"
30,[]
31,[]
32,[]
33,[]
34,"[1000, 1001, 1002, 1005]"
35,[]
36,"[100, 101]"
37,[]
38,"[300, 301, 200, 230, 100, 105, 108, 401, 408, 1000, 1002]"
39,[]
40,"[1600, 1603, 1200, 1203]"
41,"[300, 301, 325, 332, 334, 301, 325, 332, 334]"
42,"[2000, 2011]"
43,"[300, 301, 325, 332, 334, 100, 105, 107, 200, 230, 500, 508, 1000, 1002]"
44,[]
45,[]
46,"[2001, 2011, 2012]"
47,"[1200, 1205]"
48,"[1909, 1000, 2000, 2011]"
49,"[600, 601, 601]"
50,[]
51,"[1200, 1203, 1207]"
52,[]
53,[]
54,"[2001, 2011, 2012]"
55,"[1500, 107, 105]"
56,"[1901, 1930]"
57,[2000]
58,[]
59,[]
60,"[1603, 1209, 1207]"
61,"[300, 301]"
62,"[600, 602, 603, 601]"
63,"[1401, 1406, 1302, 200, 230, 201, 2011]"
64,[]
65,"[1600, 100, 107, 105, 301, 2000]"
66,"[200, 201, 207, 1000, 1001]"
67,"[600, 601, 603, 1000, 1002]"
68,[2001]
69,"[200, 230, 1200, 1203, 1205, 1209, 500, 529, 1000, 1002, 1005, 807]"
70,"[200, 230, 500, 529, 1200, 1208]"
71,"[700, 709, 800, 803, 807]"
72,[]
73,"[1303, 1304, 500, 507, 1000]"
74,"[1300, 1501, 1401]"
75,"[100, 107, 105]"
76,[]
77,"[1000, 1005, 500, 506, 1600, 1608, 200, 230, 600, 601, 1603, 1609, 2011, 2012, 2032]"
78,"[1401, 1406, 1501, 2011]"
79,[]
80,"[700, 703, 105, 107, 800, 807]"
81,"[200, 207, 1000, 1001, 500, 504]"
82,"[1500, 107, 101]"
83,"[1200, 1207, 1209, 1205, 1203, 701, 705, 1603, 1608, 2011]"
84,"[200, 230, 1401, 1406, 500, 529]"
85,"[500, 507, 100, 107, 1000, 1006]"
86,"[1200, 1203, 1205]"
87,[]
88,"[1900, 705, 101, 107]"
89,[]
90,"[100, 105, 301, 325]"
91,"[1900, 1603, 1608, 2000, 2011]"
92,[]
93,"[1600, 1608, 1900, 1920]"
94,"[1200, 1209, 1206]"
95,"[1600, 1608, 1900, 1910]"
96,"[100, 105, 101, 103, 104, 201, 1000, 1002, 1005, 500, 502, 505, 508, 2011, 2012]"
97,"[600, 601, 601]"
98,"[600, 601, 603, 606]"
99,"[1900, 1901, 100, 107, 301, 500, 506]"
100,[]
