id,llm_predicted_codes
0,"[1201, 1211, 1209]"
1,"[600, 603, 500, 508, 101, 105]"
2,[]
3,"[150, 107, 105, 101]"
4,[]
5,[]
6,"[1500, 1800, 1900, 1600]"
7,"[300, 301, 105]"
8,"[500, 507, 100, 107]"
9,[]
10,"[200, 230, 500, 529, 201, 207, 208, 1201, 1209]"
11,[]
12,"[1900, 1803]"
13,[]
14,"[1600, 1609, 2000, 2011]"
15,"[200, 230, 1200, 1208, 1209]"
16,[]
17,"[100, 105]"
18,"[200, 207, 1000, 1006, 1600, 1603, 1900, 1910]"
19,[]
20,[]
21,"[1401, 105]"
22,"[1401, 1406, 1409]"
23,[]
24,"[500, 505, 502, 508]"
25,"[1401, 1406, 800, 1409, 1401, 1406]"
26,"[100, 101, 105, 507, 100, 103, 100, 101, 100, 103]"
27,"[2000, 2011, 2012]"
28,"[300, 301, 301, 301, 701, 705, 807]"
29,"[200, 201, 207, 208, 1200, 1203, 1209, 1207, 1208, 1000, 1002, 500, 506, 2011]"
30,"[200, 201, 202, 207, 208, 600, 601, 604, 1000, 1001, 1002, 1003, 1005, 1006, 1600, 1603, 1608, 2000, 2011, 2012, 2032]"
31,"[100, 105, 107, 301, 325, 507, 508]"
32,[]
33,"[2000, 2011, 2012]"
34,"[1000, 1001, 1002, 1005]"
35,"[100, 105, 107, 500, 505, 507]"
36,"[100, 101]"
37,[]
38,"[300, 230, 100, 105, 401, 108, 107]"
39,[]
40,"[1900, 1920, 301]"
41,"[300, 301, 325, 332]"
42,"[2000, 2011]"
43,[]
44,[]
45,[]
46,"[2001, 2011, 2032]"
47,[1205]
48,"[1909, 100, 105, 101, 201, 207]"
49,"[600, 601, 603]"
50,[207]
51,"[1200, 1203, 1205]"
52,"[2000, 2011, 2012, 1000, 1001, 500, 505, 1200, 1203, 1205, 1600, 1608, 1609, 1610, 1930, 2012]"
53,[]
54,"[2001, 2012, 2011]"
55,"[1500, 107, 101]"
56,"[1900, 1911]"
57,"[2000, 2011]"
58,[]
59,[]
60,"[1603, 1608, 1609]"
61,"[300, 301]"
62,"[600, 601, 602, 603, 604]"
63,"[1400, 1401, 1406, 1302, 1304]"
64,"[1000, 1001, 500, 506, 300, 301, 301, 1200, 1203, 1205]"
65,"[1600, 100, 107, 105, 301, 2000, 2011]"
66,"[200, 201, 207, 1000, 1001]"
67,"[600, 601, 603, 605]"
68,[2001]
69,"[200, 230, 1200, 1203, 1205, 1209, 1400, 1409]"
70,"[200, 230, 500, 529, 1208]"
71,"[700, 709, 800, 803, 807]"
72,"[2001, 2011, 2012, 100, 105, 107, 500, 503, 505, 1200, 1205, 1600, 1608, 1610, 1900, 1901]"
73,"[1303, 1304, 301, 500, 507]"
74,"[1300, 1302, 105]"
75,"[100, 105, 107]"
76,[]
77,"[2000, 2011, 1603, 1608, 500, 506, 600, 601, 1600, 1627]"
78,"[1401, 1406, 1501, 2011]"
79,[]
80,"[700, 703, 100, 105, 107, 800, 807]"
81,"[200, 207, 500, 504, 601, 603, 1000, 1001, 1002, 1003, 1005, 1006, 1200, 1209, 1300, 1401, 1406, 1501, 1600, 1900, 2001, 2011, 2012, 2032]"
82,"[1507, 100, 101, 107]"
83,[]
84,"[200, 230, 1401, 1406, 500, 508]"
85,"[500, 507, 100, 107, 1400, 1406]"
86,"[200, 230, 1200, 1205]"
87,[]
88,"[1900, 705, 207, 1000, 1006]"
89,[]
90,"[500, 503, 100, 107]"
91,"[1600, 1603, 1900, 1907]"
92,"[2000, 2011]"
93,"[1600, 1603, 1609, 800, 807]"
94,"[1200, 1204, 1205]"
95,"[1600, 1608, 1900, 1910]"
96,"[100, 105, 101, 301, 500, 503, 101]"
97,"[600, 601, 601, 601, 601]"
98,"[600, 601, 603, 604]"
99,"[1900, 1901, 300, 301, 500, 506, 1000, 1001]"
100,[]
101,"[2001, 2012, 2032]"
102,[]
103,"[1600, 1603, 1901]"
104,[]
105,[]
106,"[500, 507, 105]"
107,[]
108,[]
109,"[300, 301, 325, 331, 334, 344, 101, 105, 107, 108]"
110,"[1900, 1920, 1608]"
111,"[1000, 1001, 300, 301, 500, 502, 200, 230, 500, 529]"
112,"[100, 105]"
113,[]
114,[]
115,"[2000, 2011]"
116,"[600, 601, 603, 604, 1401, 1406]"
117,[]
118,"[200, 202, 207, 208]"
119,"[300, 301, 301]"
120,"[1303, 1304, 1305, 1301, 1300]"
121,"[1600, 1608, 1200, 1203, 1205, 200, 230, 201, 207]"
122,"[200, 202, 207, 1209]"
123,"[100, 105, 107, 101]"
124,"[1900, 1901, 1907, 100, 101]"
125,[]
126,[]
127,"[100, 105, 107]"
128,"[1000, 1006, 500, 506]"
129,"[200, 230]"
130,"[1000, 1005, 1001, 1006, 1003]"
131,"[1901, 1909, 700]"
132,"[100, 105, 301, 332, 1302]"
133,"[1304, 1303, 1000, 101]"
134,[]
135,"[1900, 1910, 1000, 1001]"
136,"[200, 230, 1800, 1806, 1901]"
137,"[100, 107, 200, 230, 300, 325, 500, 503, 508, 600, 604]"
138,"[150, 107, 301, 301, 602, 603, 1208]"
139,[]
140,[]
141,[]
142,[]
143,[]
144,"[1800, 1803]"
145,"[1000, 1002, 500, 508, 601, 604, 606, 1303, 1401, 1406, 2011]"
146,"[1900, 1907, 1200, 1203, 1000, 1001]"
147,"[1200, 1203, 1205, 207]"
148,[]
149,"[1200, 1201, 1205, 1211, 1209]"
150,"[100, 101, 105, 107, 108]"
151,"[1200, 1209, 1208, 1201, 1203]"
152,"[1200, 1205]"
153,"[1901, 1907, 200, 230, 500, 529]"
154,[]
155,"[800, 806, 807]"
156,"[2000, 2011]"
157,[]
158,"[1900, 1910, 200, 201, 230, 500, 502, 508]"
159,[]
160,[]
161,"[500, 103, 105, 507, 508]"
162,"[1200, 1209, 1205, 200, 230, 500, 529]"
163,"[1200, 1209, 1205, 1203, 1201]"
164,"[2000, 2011]"
165,"[200, 230]"
166,[]
167,[]
168,"[1900, 1909, 2000, 2011]"
169,"[800, 801]"
170,"[2000, 2011, 1000, 1001]"
171,"[200, 230, 500, 529, 1401, 1406]"
172,"[100, 105, 101, 104, 107, 108]"
173,"[300, 325]"
174,"[1000, 1001, 500, 503, 1303]"
175,"[1401, 1406]"
176,"[1501, 1521, 100, 101, 107]"
177,[]
178,"[1303, 2000, 2011, 2012, 2032]"
179,"[1800, 1803]"
180,"[1900, 1920, 701]"
181,"[100, 105, 101]"
182,"[700, 705, 807]"
183,"[1401, 1406, 1409, 1608]"
184,"[200, 202, 207, 208, 301]"
185,"[150, 107, 105, 101]"
186,"[1500, 107]"
187,"[1200, 1207, 1209, 1205, 1203, 1202, 1201, 1208, 1206, 1204]"
188,"[2000, 2011, 2012]"
189,"[1900, 1803, 100]"
190,"[200, 201, 207, 1000, 1002, 1006, 600, 601, 603, 1200, 1203, 1205, 1300, 1303, 1400, 1406, 1500, 1600, 1900, 2000, 2011]"
191,[]
192,"[300, 301]"
193,"[107, 101, 105]"
194,"[100, 105, 107, 301, 325, 507, 508]"
195,"[100, 107, 104, 101]"
196,"[600, 603, 606, 2011, 2012]"
197,[]
198,"[2000, 2012]"
199,[]
200,"[1900, 1926]"
201,[]
202,[]
203,[]
204,"[500, 507, 107, 108, 201]"
205,"[200, 201]"
206,"[1900, 1911]"
207,"[1900, 1911, 500, 508]"
208,[]
209,[]
210,[1303]
211,"[1800, 1803]"
212,"[1200, 1209, 1205, 1203, 1201, 1208]"
213,"[200, 207]"
214,[]
215,"[1400, 1401, 1406, 500, 508, 1302]"
216,"[600, 602, 603, 604, 325]"
217,"[500, 502, 600, 604]"
218,[]
219,"[300, 301, 301]"
220,"[100, 105]"
221,"[1000, 1005, 500, 507, 508, 500, 529, 800, 807, 1000, 1005, 500, 507, 508, 500, 529]"
222,"[200, 201, 207, 208, 100, 105, 107, 301, 331, 334, 344, 503, 505, 601, 1200, 1203, 1208, 1303, 1401, 1406, 1501, 1603, 1901, 2001]"
223,"[700, 705, 331, 700, 703, 331]"
224,"[300, 325, 301, 105, 107]"
225,"[300, 325, 331, 334]"
226,"[500, 506, 300, 325]"
