id,claim_labels
0,"[1200, 1207, 1209]"
1,"[600, 603, 500, 508, 100, 107, 105]"
2,[]
3,"[100, 107, 105, 500, 508]"
4,[]
5,"[1400, 1401, 500, 529, 100, 105, 101, 200, 230, 600, 603]"
6,"[108, 1900, 1909]"
7,"[300, 301, 105]"
8,"[500, 507, 107, 101]"
9,"[300, 301, 201, 1000, 1002]"
10,[]
11,[]
12,"[2000, 2012]"
13,"[1200, 1205, 1209, 300, 301, 100, 107, 1000, 1002]"
14,"[1600, 1609, 2000, 2012]"
15,"[200, 230, 500, 508, 529]"
16,[]
17,"[100, 105]"
18,"[2000, 2012, 1000, 1003, 700, 1900, 1926]"
19,[]
20,[]
21,"[100, 105]"
22,"[1400, 1302, 1401]"
23,[]
24,"[500, 502, 505, 506, 507]"
25,"[1400, 1401, 800, 803, 1400, 1409, 1406, 1000, 1002, 500, 508, 500, 529]"
26,"[100, 105, 101, 103, 500, 502]"
27,[]
28,"[300, 301, 700, 705, 107]"
29,"[200, 207, 500, 504, 1000, 1002, 1003, 1005, 1200, 1209, 1300, 1401]"
30,"[200, 201, 600, 604, 1000, 1002]"
31,[]
32,[]
33,[]
34,"[1000, 1001, 1002, 1005, 500, 506]"
35,[]
36,"[100, 101]"
37,[]
38,"[300, 301, 500, 502, 100, 107, 1000, 1002]"
39,[]
40,"[1600, 1627]"
41,"[300, 301, 325, 331, 332, 334, 301, 325, 331, 332, 334]"
42,"[2000, 2032]"
43,[]
44,[]
45,[]
46,"[2001, 2012, 2032]"
47,"[200, 207]"
48,[]
49,"[600, 602, 604, 100, 105]"
50,[]
51,"[1200, 1202]"
52,[]
53,"[2000, 2012]"
54,"[2000, 2012]"
55,"[100, 107, 105]"
56,"[200, 207]"
57,"[2000, 2012]"
58,[]
59,[]
60,"[1603, 1209, 1000, 1001]"
61,"[300, 301]"
62,"[600, 602, 603, 604, 606]"
63,"[1400, 1302, 1304, 200, 230, 600, 603]"
64,[]
65,"[1000, 1005, 500, 507, 100, 107, 105, 1000, 1005, 500, 508, 100, 105, 1000, 1005, 500, 507]"
66,"[2000, 2012]"
67,"[600, 601, 603, 607, 100, 105, 107]"
68,[2001]
69,"[200, 230, 500, 529, 1200, 1203, 1205, 1400, 1409]"
70,"[200, 230, 500, 529, 1000]"
71,"[700, 701, 807]"
72,[]
73,"[1303, 1304, 500, 507, 107, 101]"
74,"[1300, 1302]"
75,"[100, 105, 107]"
76,"[2000, 2012]"
77,[]
78,"[1400, 1401, 1406, 1410]"
79,[]
80,[]
81,"[200, 207, 1000, 1001, 600, 602, 603, 1000, 1001]"
82,"[107, 100, 105]"
83,"[200, 207, 1200, 1209, 500, 529, 800, 807]"
84,"[200, 230, 500, 529, 1401]"
85,"[200, 230, 500, 507, 100, 107]"
86,"[200, 230, 1200, 1206]"
87,[]
88,[]
89,"[300, 301, 107, 1000, 1001]"
90,"[100, 105, 301, 325]"
91,"[1900, 1930, 100, 101, 200, 207]"
92,"[2001, 2012]"
93,"[1600, 1603, 1609, 1900, 1926, 200, 207]"
94,"[500, 504]"
