start	end	text
31	7342	Live in Salford for the very first time in this election, it's Sunak versus Starmer, the ITV debate.
18177	27591	It's the first head-to-head debate in the 2024 general election with these two men who want to run the country, Rishi Sunak and Keir Starmer.
34152	36795	Well, good evening.
36815	39959	Tonight's debate is set against the toughest of backdrops.
40159	48730	Since the UK last went to the polls, we've had a pandemic, Putin's invasion of Ukraine, and a cost-of-living crisis which is still hitting families hard.
49070	53496	Huge geopolitical threats loom large, not least, of course, climate change.
53996	55658	We all know how tough it's been.
55799	57901	We don't need the politicians to remind us.
58442	61105	So what are these two men going to offer us?
61085	61886	Who are they?
62307	64089	And why should they earn our vote?
64489	69396	Can they level with us when we know that finances are almost impossibly tight?
70057	77366	Later tonight, you'll be able to see what other parties are offering when they're interviewed live on ITV1 by Anushka Astana.
77386	80911	And the conversation will continue on the national and regional news.
80991	83634	But now, let's get on with tonight's debate.
84115	86738	Keir Starmer, your opening statement, please.
86718	87940	Thank you very much.
88581	90986	This election is all about a choice.
91847	99441	More of the chaos and division we've seen for the last 14 years or turning the page and rebuilding with Labour.
100503	104831	I have ambition for our country and have a practical plan to deliver it.
105753	110582	I've changed the Labour Party and put it back in the service of working people.
110798	118248	Now I'm seeking your backing to change our country, to make it work once again for you and your family.
119089	119490	Thank you.
119530	120211	Rishi Sunak.
121432	125077	Uncertain times call for a clear plan and bold action.
126078	127721	So I'll keep this simple.
127741	131526	In five weeks, either Keir Starmer or I will be Prime Minister.
132587	139236	Beyond raising your taxes and raiding your pensions, no-one knows what Labour would actually do.
139722	141065	But you know what I would do?
141846	146376	I'll cut your taxes, protect your pension, and reduce immigration.
147318	152468	I have a clear plan for a more secure future for you and your family.
153170	154693	Thank you, Rishi Sunak.
154977	158964	Well, we invited viewers from right across the country to submit questions.
159044	163070	We have independently selected the questioners here with us this evening.
163511	166476	I'll also raise some points made by people who couldn't be here.
166917	169020	The two leaders don't know what they'll be asked.
169200	171985	Also here, people who'll listen to tonight's debate.
172366	178135	Some have voted Conservative and Labour in the past and think they will do so on July the 4th.
178155	181761	And some have voted for other parties or are undecided.
181741	186310	You can join the debate wherever you are by using the hashtag ICVdebate.
186651	194006	And just before we go to our first question, a reminder that each leader will have 45 seconds to respond initially.
194207	199037	Now, our first question, on the cost of living, Paula from Huddersfield.
199057	199337	Paula.
200079	201201	Good evening, both.
202025	207911	I have worked since I was 15 years old and at the moment I hold a full-time stable job.
208471	209653	My children have left home.
210313	215318	In the last few years I've found it very difficult to make ends meet and the money simply doesn't go far enough.
216159	217781	All I do is work to live.
218501	220283	My food bill is nearly doubled.
220724	222025	I'm in arrears with my bills.
222686	229112	I spend my weekends back cooking so I don't have to turn on my oven in peak times.
229092	232438	My savings are gone and I'm genuinely worried about my future.
233440	237667	I don't think you actually understand how this is for people like me.
238228	240032	So what can you do about that?
240052	242756	Thank you very much indeed, Paula, for your question.
242776	243658	Rishi Sunak.
244027	252095	Well, Paula, I know how much of a strain the last few years have put on your family finances, the family finances of everyone in our country.
252836	256139	And that's why my priority has always been to do what I can to support you.
256619	264006	That started with bold action, like the furlough scheme during the pandemic, and more recently, my clear plan to bring inflation back to normal.
264667	273055	And now, our economy is growing again, wages are rising, and crucially, we are able to now start cutting your taxes.
273035	277463	But I know you're only just starting to see the benefits of that, as you described.
277483	291910	So the choice at this election is with my clear plan and bold action to keep cutting your taxes to give you financial security or put all that progress at risk with higher taxes, £2,000 worth of higher taxes under the Labour Party.
292010	293012	Thank you, Rishi Sunak.
293032	293693	Here's Dhan.
293943	297873	Paul, I'm really, really sorry to hear the position that you're in.
297893	300479	It must be really, really difficult on a daily basis.
300780	310304	And there'll be millions of people watching this who feel in a similar position to you that the cost of living crisis is really bearing down on them with constant worry.
310324	311547	I'm not going to pretend that
311527	314012	Ukraine and Covid hasn't made things worse.
314313	316357	But this government has lost control.
316677	318240	Liz Truss crashed the economy.
318421	320866	They made it worse here than in other countries.
320886	322970	And it's people like you that are paying the price.
323010	327038	Because if a government loses control of the economy, as they have,
327018	329760	It's working people that pay the price.
330221	332743	And Liz Truss's advisers are in the House of Lords.
333083	335265	She's going to be a candidate at the next election.
335285	337267	Rishi Sunak is putting her forward.
337427	344113	We've got to stop this chaos, got to stop the division, turn a page and start to rebuild under Labour.
344394	347456	Thank you for those opening statements, 45 seconds each.
347897	357025	Just to turn to you first, Keir Starmer, the point that Rishi Sunak made is the economy is growing again, the plan is working, is his view.
357005	359448	Well, he says the plan is working.
359468	360730	He says the plan is working.
361011	363694	So the question for him is, why has he called the election now?
364195	369663	Because if he thinks things are going to get better towards the second half of this year, why has he called it now?
370184	375351	He's called it now because he knows, and I'll ask him this, he knows inflation is going to go back up.
375331	378456	He knows energy prices are going to go back up in the autumn.
378816	380038	That's what he's not telling you.
380239	387530	So he says the plan is working, but I don't think he believes the plan is working, because if he thought the plan is working, he wouldn't have called this election right now.
387670	388692	Rishi Sunak?
388792	394862	I think it's slightly ironic, because from the moment I got this job, Keir Starmer was telling me, call an election, call an election.
395242	399649	And now that we've called an election, he's saying, oh, no, don't have an election, because I don't want to tell you what I'm going to do.
399769	402013	And this is the choice.
401993	402714	for everybody.
403194	404976	The plan is working, of course, I know.
405017	413266	Everyone is only just starting to feel the benefits of it, but inflation is back to normal, wages are growing, taxes are now being cut.
413286	416290	Keir Starmer would put all that progress at risk.
416310	419013	He would put up everyone's taxes by £2,000.
419033	427282	£2,000 in higher taxes for every working family in our country after all the hard work and sacrifice we've been through.
427483	428944	That's not the right course of action.
429245	431207	I don't know why you want to put up people's taxes.
431187	440042	Paul, I just don't know how you feel when you hear a Prime Minister say, having heard what you're going through, that the plan is working, it's all all right.
440163	448597	I meet so many people who are struggling with their bills and the Prime Minister just keeps saying, he lives in a different world, that it's all all right.
448617	455389	If people are struggling with their bills, why do you want to make it harder for them by saddling them with £2,000 worth of higher taxes?
455369	457733	How is that going to make Paula or anyone's life easier?
457753	459555	Could you respond directly to Rishi Sunak?
459595	465324	This is the Prime Minister who's been part of a government that has put up tax 26 times.
465745	471394	The last manifesto that they had in 2019 said, we won't put up national insurance.
471414	474719	This man then put up national insurance.
474799	477703	He's the British expert on tax rises.
477944	480207	They're at the highest level for 70 years.
480488	484093	And he's got the gall to say other people are going to... And are we going to hear a lot about the past?
484073	487300	in this election but this election is about the future.
487340	492251	This election is about the future and I'm clear that I'm going to keep cutting people's taxes as we now are.
492692	496641	You want to put everyone's taxes up by £2,000 and this is really important.
497002	502875	Independent Treasury officials have costed Labour's policies and they amount to a £2,000 tax rise.
502855	514882	Mark my words, Labour will raise your taxes, it's in their DNA, your work, your car, your pension, you name it, Labour will tax it.
515724	521016	I'm just going to just draw breath there a moment please gentlemen, we're going to be talking about tax again later on.
520996	528408	I just want to bring this part of the debate back very firmly to Paula's question.
529249	532775	She made it very clear how hard her life is at the moment.
532815	534257	You did acknowledge it, both of you.
534657	540086	She spends her weekends batch cooking so she doesn't have to turn her oven on during peak times.
540386	543932	There is worry here, right before our eyes.
543912	546996	that were being echoed across the country.
547016	552704	One of the key points that Paula says is, she says, I don't think you understand how hard it is for people like me.
552985	554487	What are you going to do about it?
554767	557671	How do you actually connect with Paula?
557892	558833	Rishi Sunak.
558853	561837	Well, I'd ask everyone to judge me by my actions.
562120	564462	You saw what I did during the pandemic.
565243	572631	When disaster struck our country, I implemented the furlough scheme because I knew the devastating impact it would have on people.
572651	573171	And you know what?
573331	581940	Every week when I'm out and about, someone comes up to me and tells me how furlough saved their family, saved their home, because that's who I am.
582040	584543	And I don't want to put that progress at risk.
584563	588326	I want to keep delivering financial security by cutting people's taxes.
588346	588887	Thank you.
588867	595500	Whereas the Labour Party want to keep putting people's taxes up and that's not going to help anyone overcome the challenges they're facing.
595520	597904	Paula wants to know what you're going to do about it.
597924	602052	I think what you put to the Prime Minister is how does he connect?
602934	604657	Paula, what I would say is this.
605900	607703	My dad worked in a factory.
607683	608624	He was a toolmaker.
608684	609625	My mum was a nurse.
609785	612088	We didn't have a lot of money when I was growing up.
612108	615091	And we were in a position on occasion where we couldn't pay our bills.
615151	616713	So I know how that feels.
617093	621217	In our particular case, we had our phone cut off because we didn't have the money.
621438	629146	So I do know the anguish of worrying when the postman comes with a bill, what is that bill going to be?
629366	630047	Can I pay for it?
630067	631108	Are you saying that Rishi...
631088	635432	I think the Prime Minister quite understands the position that you and other people are in.
635672	640316	I do want to, if I may, just answer... No, let Richie say... No, please let Richie respond to that, please.
640336	644741	Because this election is about the future and making people's lives better.
644801	650005	Now, I've got a clear plan to ease those anxieties that Paula and everyone is facing.
650246	654970	Because things are tough, I want to make them easier by continuing to cut your taxes.
655470	660555	The difference of this election is Keir Starmer is going to put your taxes up by £2,000.
660535	671038	So if people are worried about their electricity bill, their food bill, taking their kids on a holiday, £2,000 worth of tax rises are not going to help with any of those things.
671219	675456	I'll ask again, why do you want to put everyone's taxes up?
