id,supercategories,claim_labels
0,[1200],"[1200, 1207]"
1,"[100, 600]","[100, 105, 600, 601, 604]"
2,[],[]
3,"[100, 500]","[100, 107, 500, 502]"
4,[2000],[2000]
5,"[1400, 1800, 100, 200]","[100, 107, 200, 230, 1400, 1401, 1800, 1803]"
6,"[100, 1800]","[100, 105, 1800, 1803]"
7,"[300, 100]","[100, 105, 107, 300, 301]"
8,"[100, 500, 150]","[100, 105, 500, 507, 1500, 1501]"
9,"[300, 1000]","[300, 301, 1000, 1001]"
10,"[500, 200]","[200, 201, 230, 500, 502, 503, 504, 505, 506, 508, 529]"
11,"[100, 200]","[100, 105, 200, 201]"
12,"[1800, 100]",[1800]
13,"[1200, 100, 200]","[100, 107, 200, 201, 1200, 1203, 1205]"
14,"[1600, 2000]","[1600, 1609, 2000, 2012]"
15,"[200, 1300]","[200, 201, 230, 1300, 1302]"
16,"[1900, 1000, 500]","[500, 502, 1000, 1001, 1003, 1900, 1901]"
17,[100],"[100, 105]"
18,"[200, 1000, 1900]","[200, 201, 1000, 1001, 1900, 1907]"
19,[200],"[200, 230]"
20,[2000],[2000]
21,"[1300, 1400]","[1300, 1302, 1400, 1401]"
22,[1400],"[1400, 1401, 1406]"
23,"[100, 500, 1300]","[100, 105, 107, 1300, 1303, 1304]"
24,"[500, 600]","[500, 502, 505, 600, 603]"
25,"[400, 800, 100, 1000]","[100, 105, 400, 401, 800, 806, 1000, 1001]"
26,"[100, 500]","[100, 101, 103, 105, 500, 503]"
27,"[2000, 100, 200]","[100, 105, 107, 2000, 2012]"
28,"[300, 700]","[300, 301, 331, 700, 705]"
29,"[1200, 200]","[200, 201, 207, 1200, 1203]"
30,"[200, 1000]","[200, 201, 1000, 1001]"
31,"[100, 200]","[100, 105, 107, 200, 201]"
32,[],[]
33,"[500, 600]","[500, 504, 600, 601]"
34,[1000],"[1000, 1001, 1002, 1005]"
35,"[100, 500]","[100, 105, 107, 500, 502, 503]"
36,[100],[100]
37,[],[]
38,"[200, 300, 500, 1000]","[200, 230, 300, 301, 500, 502, 1000, 1001]"
39,[2000],[2000]
40,[1900],"[1900, 1920]"
41,[300],"[300, 301, 331]"
42,[2000],"[2000, 2012]"
43,"[300, 100, 500]","[100, 105, 300, 301, 500, 502]"
44,[2000],"[2000, 2012]"
45,[2000],"[2000, 2011]"
46,[2000],"[2000, 2012]"
47,[1000],"[1000, 1002]"
48,"[1900, 100, 200]","[100, 105, 200, 201, 1900, 1910]"
49,"[600, 100]","[100, 105, 600, 601]"
50,[200],"[200, 207]"
51,"[1000, 2000]","[1000, 1200, 1202, 2000, 2011]"
52,"[100, 200, 500]","[100, 107, 200, 201, 500, 504]"
53,[2000],"[2000, 2012]"
54,[2000],"[2000, 2012]"
55,[100],"[100, 107]"
56,"[1900, 200]","[200, 201, 1900, 1901]"
57,[2000],[2000]
58,"[100, 1500]","[100, 101, 1500, 1501]"
59,"[100, 300, 1200]","[100, 105, 300, 301, 1200, 1205]"
60,[1600],"[1600, 1603, 1608]"
61,[300],"[300, 301]"
62,[600],"[600, 602, 603]"
63,"[1400, 1300]","[1300, 1302, 1304, 1400, 1401, 1406]"
64,"[100, 300]","[100, 105, 107, 300, 301, 331]"
65,[100],"[100, 105, 107]"
66,"[200, 1000]","[200, 207, 1000, 1002]"
67,"[100, 600]","[100, 105, 600, 601]"
68,[2000],"[2000, 2012]"
69,"[200, 500, 1400]","[200, 230, 500, 529, 1400, 1401]"
70,"[200, 500, 1000]","[200, 230, 500, 529, 1000, 1001]"
71,[700],"[700, 701, 709]"
72,"[2000, 100, 500]","[100, 105, 500, 506, 2000, 2012]"
73,"[500, 300]","[300, 301, 334, 500, 504, 505, 507, 508, 529]"
74,[1300],"[1300, 1302]"
75,"[100, 500]","[100, 107, 500, 505]"
76,[2000],"[2000, 2012]"
77,"[1000, 1600, 600, 1300]","[600, 601, 1000, 1002, 1300, 1303, 1600, 1609]"
78,"[1400, 1500]","[1400, 1401, 1407, 1500, 1501]"
79,[2000],"[2000, 2032]"
80,"[100, 150, 200]","[100, 105, 107, 200, 201]"
81,"[100, 200]","[100, 105, 200, 201]"
82,"[100, 1500]","[100, 107, 1500, 1501]"
83,"[200, 1000, 500]","[200, 207, 500, 502, 1000, 1002, 1200, 1209]"
84,"[200, 1400]","[200, 230, 1400, 1401]"
85,"[100, 200]","[100, 107, 200, 201]"
86,"[200, 500, 1300]","[200, 230, 500, 529, 1300, 1302]"
87,"[100, 1400, 300]","[100, 105, 300, 301, 1400, 1401]"
88,"[100, 200]","[100, 107, 200, 201]"
89,"[300, 1000]","[100, 105, 300, 301, 1000, 1001]"
90,"[100, 300]","[100, 105, 107, 300, 301]"
91,"[1600, 1900]","[1600, 1603, 1900, 1901, 1907]"
92,[2000],"[2000, 2012]"
93,"[100, 1300, 1600, 1900]","[100, 105, 1300, 1302, 1600, 1603, 1900, 1901]"
94,[500],"[500, 504, 506]"
95,"[1600, 1000]","[1000, 1001, 1600, 1603]"
96,"[100, 500]","[100, 105, 500, 502, 508]"
97,[600],"[600, 601]"
98,[600],"[600, 601, 603]"
99,"[100, 200, 300]","[100, 105, 200, 201, 300, 301, 331]"
100,[],[]
101,[2000],"[2000, 2012]"
102,"[100, 1300]","[100, 105, 1300, 1303]"
103,[1900],"[1900, 1920]"
104,"[100, 600, 300]","[100, 105, 300, 301, 332, 600, 601]"
105,[],[]
106,"[100, 500]","[100, 105, 500, 502, 503]"
107,[300],"[300, 301, 325, 334]"
108,[],[]
109,"[300, 100, 500]","[100, 105, 300, 301, 500, 502, 508]"
110,"[1000, 2000]","[1000, 1001, 1900, 1901, 2000, 2011]"
111,"[100, 300, 200, 500]","[100, 105, 200, 201, 300, 301, 500, 502, 506]"
112,[100],"[100, 105]"
113,[1200],[1200]
114,[],[]
115,"[1000, 2000]","[1000, 1001, 2000, 2011]"
116,"[600, 500, 1400]","[500, 502, 508, 600, 601, 604, 1400, 1401]"
117,[],[]
118,[200],"[200, 202]"
119,[300],"[300, 301]"
120,"[1300, 2000]","[1300, 1303, 1304, 2000, 2001, 2012]"
121,"[1600, 2000]","[1600, 1603, 1609, 2000, 2011]"
122,[200],"[200, 202]"
123,"[100, 200]","[100, 105, 107]"
124,"[100, 1800]","[100, 105, 1800, 1803]"
125,[],[]
126,[],[]
127,"[100, 1500]","[100, 105, 1500, 1501]"
128,[100],"[100, 107]"
129,"[200, 1300]","[200, 230, 1300, 1302]"
130,[1000],"[1000, 1002, 1005, 1006]"
131,"[1900, 200]","[200, 201, 1900, 1901]"
132,"[100, 1300, 300]","[100, 105, 300, 301, 1300, 1302]"
133,"[100, 130, 200]","[100, 105, 130, 200, 201, 1300, 1303]"
134,[1600],"[1600, 1627]"
135,"[1900, 1000]","[1000, 1001, 1900, 1909]"
136,"[100, 500, 200]","[100, 105, 200, 201, 500, 502]"
137,"[200, 100, 300]","[100, 107, 200, 230, 300, 301, 325, 331]"
138,"[100, 130, 300, 600]","[100, 107, 130, 300, 301, 600, 602, 1300, 1302]"
139,"[600, 200]","[200, 600]"
140,"[700, 800, 100, 1300]","[100, 105, 700, 705, 800, 806, 1300, 1303]"
141,[],[]
142,[],[]
143,[],[]
144,"[100, 1800]","[100, 105, 1800, 1803]"
145,"[1400, 1300, 500]","[500, 502, 508, 1300, 1303, 1400, 1401]"
