,id,reasoning,supercategories,claim_labels,watch_labels,text,parsed_watch
0,344,"The excerpt discusses economic policy choices (putting working families first, cutting the deficit, balancing the books) and contrasts the speaker's vision with that of David Cameron. There is also a reference to the National Health Service (NHS), which falls under the healthcare category.","[100, 300]",[105],"[105, 301]","Ed Miliband. You've heard tonight from five different parties, but there's one fundamental choice at this election. Do we carry on with a conservative plan that says we should put the richest and most powerful first in our country? or do we choose a different idea? I believe it's time to put working families first again in our country, putting your living standards first, having more doctors and nurses in our National Health Service, having a future for our young people, all underpinned by cutting the deficit every year and balancing the books. Now, David Cameron refused to come and debate tonight, but I've got a message for him. David, if you think this election is about leadership, then debate me one on one. I believe my ideas, my vision for the country is better for the working families of Britain. If you disagree, then prove it. Debate me and let the people decide.","['105', '301']"
2,352,"The excerpt discusses the current tax burden, the need for economic growth, and the impact of economic performance on public services.  The speaker criticizes the current government's tax policies and promises to lower taxes for working people.  The mention of ""the economy"" and ""public services"" points to discussions within the macroeconomics and social welfare domains.","[100, 1300]",[105],[105],"Well, the first thing I'd say is the Tories are in no position to lecture anyone about tax rises. We've got the highest tax burden. For 70 years. And I think that working people shouldn't pay more tax and we will not raise their tax. OK. What we need to do is get the economy going. There's a reason that taxes have gone up so much in recent years, and that's because the economy is flatlining. We have to address that problem. And tomorrow, our manifesto is a plan for growth, a detailed plan of the first steps we will do in government to get our economy working so that living standards go up and we have the money we need for our public services.",['105']
3,362,"The excerpt discusses taxation, public spending on the NHS, and the need for reform. There are explicit mentions of not increasing taxes, funding the NHS, and the need for a preventative model.","[100, 300]","[105, 301]","[105, 301]","Well, in relation to taxation, I do need to be really clear. We are not going to increase income tax, national insurance or VAT. And the reason for that is because I think with the tax burden being as high as it is and a cost of living crisis, that is the wrong thing to do, particularly for working people. So we're not going to do that. We will put some immediate money into our public services. I ran a public service for five years. I believe in our public services and I know they need to be properly funded so we will put in money to the NHS straight away and the purpose of that will be to allow us to do 40,000 extra appointments and operations every week That's 2 million a year extra appointments to bring the waiting list down, because it's nearly 8 million now and we've got to get it down. And what about defence? And that will allow the NHS to be properly, you know, to get back on its feet. We'll have to then make it fit for the future. And what about defence? That's also in the question. Where are you going to find the money for that if you don't increase streams of taxation? Defence has to be the first priority of any government defending your country, and therefore we will always make the money available for defence. And you can see at the moment we live in a particularly volatile world. So we will make the money available for defence, we will put that extra money into the NHS, and I want to see our public services running properly. And my wife works in the NHS, my mum worked in the NHS, my sister worked in the NHS, and to see it in the state that it's in now, where I say it's on its knees, my wife says no it's not, it's flat on its face. is a complete disgrace. After 14 years of this government, we will have to pick it up, put it back on its feet, but also do something else, reform, to make sure that it's fit for the future. That will require a different model, a preventative model. I'll just give this one last example. Very brief, if you want, because there are a lot of hands up. I went to Alder Hey Children's Hospital. Some people will know it. It's a brilliant children's hospital. in Liverpool, where I saw heart surgery, or the wards where they do it, on children aged 0-2. It was very humbling and uplifting, but I also discovered that the single most common reason that 6-10 year olds are admitted to the children's hospital there, same across the country, is to have their teeth taken out because of teeth decay. That is a complete and utter disgrace. So we need to move the model and change the model for the NHS as well. Thank you.","['105', '301']"
4,366,"The excerpt discusses the economic policies of different political parties, specifically focusing on austerity measures and their impact on poverty. There are mentions of government spending, the deficit, and the potential consequences of these policies on vulnerable populations.",[100],[105],[105],"I don't say there is no difference between Ed Miliband and David Cameron, I say there is not a big enough difference between Ed Miliband and David Cameron. Charlotte's question was rightly about the next generation. We have experts saying that if we continue with austerity cuts, by 2020 there are going to be one million more children across the UK living in poverty. That would be a betrayal of the next generation. What I am proposing is responsible, modest spending increases that still gets the deficit down, because yes, that is important, but doesn't do it by heaping more and more pain onto the backs of the people who can least afford it. And I want to say to Ed, We share a desire to see the back of the Tories, but surely we don't want to replace the Tories with Tory light.",['105']
6,370,"The excerpt discusses Brexit, a people's vote, and the potential consequences of a Conservative government.  There are clear references to political parties, the desire for national unity, and the impact of austerity.","[1900, 2000]",[2012],[2012],"Thank you. Sian Berry. I understand completely the motivation behind the question, because we're all really just hoping that the country will stop being so divided. And I have to say, I really, truly believe that the best way to finish off Brexit, to finish off this process, is with more democracy, with a people's vote. And I think, I mean, looking around this panel, we've got a majority of parties here who are committed to putting back the Brexit question in a people's vote. I do believe that's the best way to finish it off. And I do believe that Brexit would be a disaster. The reason I want to get a people's vote done is so we can get back to fixing the country, to dealing with the problems that austerity caused. And I don't think we can trust the Conservatives with another vote in this election, another government, because they've had three years, they've made a hash of Brexit, and they cannot be trusted again. Thank you. Nigel Farage.",['2012']
10,393,"The text discusses issues of misogyny within the police force and society at large. It mentions a proposed ""Misogyny Act"" and the need for transparency, vetting, and accountability to address these issues.",[200],[202],[202],"Well, we are quite far down the road towards the Misogyny Act, actually informed by the work of Helena Kennedy, who's a Labour peer in the House of Lords. And it's a huge issue, and it reflects wider society, the misogyny that we see there. And some of the stuff that's happened in the Met, which people will be familiar with, is not unknown in Scotland as well. And it doesn't just affect women and girls or members of the public, it affects women and girls, well, women in particular, in the police force. So you have to have that transparency that's been talked about. You have to have proper vetting. The vetting has not been good, and even finding out a police officer that served with another police force, what their background is, you have to know that, and you have to have the accountability, which means that when somebody is accused of something, there's a proper process that people can have faith in. So there is a huge job to do in terms of rebuilding trust across the country. The same will be true in Scotland as well. But the root of it is the misogyny, which is evident in wider society, and that's why I'm very proud that Scotland's taking the lead in terms of misogyny.",['202']
12,409,"The excerpt discusses school performance and funding, indicating a focus on education policy.  There's also a mention of ""spending,"" which could relate to budget discussions.","[600, 100]",[602],"[105, 602]","Mr Brown? Well, we've got to be clear about this. I, too, want freedom for schools, and that's why, where a school is failing, it will be taken over by a federation or by an academy so that it can work, usually a local federation, a local academy. I want the best discipline in our schools as well, and I'm tough on what headteachers have got to do to ensure that there is discipline not just in the school itself, but around the school as well. Mr Clegg? We've got to face up to this fact about spending.","['105', '602']"
13,417,"The text discusses government spending cuts and tax increases to eliminate the deficit. This falls under the macroeconomics category. There is also a mention of ""tax avoidance and tax evasion,"" which points to taxation policy. Finally, the text contrasts the proposed policies with those of Ed Miliband, implying a discussion of political parties and their platforms, which could fall under government operations.

```json","[100, 2000]",[105],"[105, 2012]","We are going to find £1 out of every 100 that the government spends and save that in each of the next two years. We've done it for five years, and if we do it for two more, combined with the extra taxes in terms of tax avoidance and tax evasion, we will eliminate the deficit. But we'll do it without reaching into working people's pockets and taking their money, which is what Ed Miliband is recommending.","['105', '2012']"
23,464,"The text discusses Brexit, which falls under the broad category of International Affairs.  There is also a mention of a ""mandate,"" which could relate to political processes and elections, falling under Government Operations.","[1900, 2000]",[2012],[2012],"Yes, you can. I don't think there's a thing as a hard Brexit or a soft Brexit. I think it's a good Brexit. And what Theresa May needs is a mandate.",['2012']
25,476,"The excerpt discusses government spending, taxation, and economic growth, indicating a focus on macroeconomic policy. There are also mentions of political parties and their stances on austerity, suggesting a connection to social welfare and potentially political ideology.

```json","[100, 1300]",[105],[105],"The Canny Scots have paid more tax per head of population to the Treasury in every single year for the last 34 years, that is the reality. The question for Ed Miliband, Ed talks the language of anti-austerity but it is only a few weeks since Ed Miliband tripped through the lobbies of the House of Commons with Nick Clegg and David Cameron to vote for £30 billion of cuts over the next two years. I take a different view to that. I don't believe you can simply cut your way out of deficit. I think David Cameron has proved that. He's missed all of his borrowing targets. We need to invest and grow our way out of the deficit. We've got experts saying that austerity has held back economic growth. So let's have spending increases, modest spending increases, that allow us to invest in the things that matter.",['105']
26,478,"The excerpt discusses reducing the European budget, exiting bailout funds, and concerns about immigration. These points relate to  macroeconomic policy (specifically national budget and taxation) and social welfare (specifically immigration).

```json","[100, 200]",[105],[105],"I don't accept that. Nigel is basically saying, give up before you've begun. In fact, if you look at my track record on Europe, I said... I have. ..we cut the European budget. People said it was impossible. We cut that European budget. I said, let's get out of these bailout funds where British taxpayers' money was being put into countries like Greece. People said, you'll never do that. We got out of those Greek bailout funds. So, instead of giving up, let's get stuck in and negotiate. And the problem with Nigel, in the end, is, ultimately, Nigel, you're just the back door to a Labour government, which will give us open-door immigration, which is not what this country wants.",['105']
27,487,The text discusses the NHS and the need for workforce support within it. There is also a mention of a cooperation agreement and disagreement with Labour's approach to the NHS in Wales. This suggests a discussion about healthcare policy and potentially international cooperation.,"[300, 1900]",[301],[301],"And the NHS was in no way a part of that co-operation agreement because we do not agree with Labour's approach on the NHS in Wales. My job as an opposition member is to persuade them to make some bold decisions to take us on the right direction. But you know what? You need more than anything, Aishani, is assurance that sustainability will be built in for the workforce within the NHS. Workforce planning and giving you the support through your pay packet, one, but all those other means that show that you are valued as a health worker. OK. Nigel Farage.",['301']
28,488,"The excerpt discusses reducing the environmental impact of air travel, mentioning investments in public transport, a target to decarbonize flights, and the existing air passenger duty.","[700, 100]",[705],[705],"We don't want Scotland to be left behind in these things, but we want to invest more in public transport. In answer to your question earlier on, do people have to fly less? Yes, I think we do, where we can. Something like half of all international flights are taken by 10% of the population. So we have to invest more. We are investing half a billion pounds to improve bus infrastructure. We need to get the rail services. better. Where flights are necessary, in a country like Scotland, sometimes they are, we have set a target to decarbonise all flights within Scotland by 2040. We have already one of the most comprehensive electric vehicle charging networks anywhere in Europe with a target of phasing out... Are you beseeching people to fly less or are you going to tax them to make sure they fly less? The UK already has one of the highest levels of air passenger duty. My party had a long-standing commitment to cut that, and we decided we couldn't do that, in all conscience, because of the climate emergency. So, you know, I think we need to make sure the alternatives are there and encourage people. But on all of this discussion about individual behaviour, important though it is, somebody made a point about the small number of companies responsible for the majority of emissions. We've got to make sure that industry and government are leading by example.",['705']
29,491,"The excerpt discusses economic policy, including taxation, government spending, and financial regulation. It also touches on social issues like fairness and job creation.

```json",[100],[105],[105],"Tonight's debate is about you: about your job, the taxes you pay, your family, about the prosperity of our economy. We need to do things differently to to build a new, stronger and fairer economy. The way they got us into this mess is not the way out. We need to be frank about the cuts that will be needed, so we can protect things like schools and hospitals. We'll need to break up our banking system so that irresponsible bankers can never again put your savings and your businesses at risk. We have to rediscover our passion for innovation, for building things, not just placing bets on the money markets, and we need fair taxes, so that you don't pay any income tax on your first £10,000. Of course, they'll tell you tonight that these things can't be done. I think we've got to do things differently, to deliver the fairness, the prosperity, and the jobs that you and your families deserve.",['105']
30,492,The text discusses the topic of Brexit and the democratic process. There are mentions of different viewpoints on Brexit and the need for a final say by the people. The speaker also criticizes the opposition for blaming Labour for the Brexit crisis. This points towards discussions on political processes and public opinion.,"[1900, 2000]",[2012],[2012],"I'm disappointed that Adam is playing the Tory game by trying to blame Labour for the Tory-created Brexit crisis. This isn't about not taking a position. This is about taking the adult position. In our country, there are families with different views on the question of Brexit. There's people at work, work colleagues with different positions on this. If we want to bring people together, I think we need less of the finger-pointing, ranting and electioneering. And we need to say, let the people have the final say, and a Prime Minister, Jeremy Corbyn, will implement whatever the people say. That's democratic. That's going to bring people together. I don't understand why people have such a problem with it.",['2012']
32,506,"The excerpt discusses the need for fiscal responsibility, mentioning the deficit, tax breaks, and NHS funding.  The speaker criticizes the opposition for making unrealistic promises about tax cuts and increased spending.",[100],[105],[105],"All I would appeal for is just a bit of honesty in this debate. I mean, people know that money is tight. People know that you can't promise something for nothing. You can't say you're going to fill the deficit tomorrow and you're going to give lots and lots of tax breaks to people, inheritance tax breaks for double millionaires, tax breaks for, what is it, one in three hand-picked married couples, and also extra, extra, extra money to the NHS without explaining how you're going to do it.",['105']
33,507,"The text explicitly mentions ""austerity"" and ""public services"" which implies a discussion about government spending. The phrase ""getting a Labour government"" suggests a political stance and potential policy changes.


```json","[100, 200]",[105],[105],"Well, the only way to end austerity is by getting a Labour government. And we need to end austerity in order to properly fund our public services. OK, we'll leave that question mark hanging in the air.",['105']
34,509,"The excerpt discusses the powers of the police and security services. This falls under the category of Law, Crime, and Family Issues. 


```json",[1200],[1209],[1209],I think we should always listen very carefully to what the police and security services say. But the police and security services already have fairly wide-ranging powers. I listened to some of your conversations with Tim Farron.,['1209']
35,510,"The excerpt discusses the government's economic policies, specifically focusing on tax cuts and the impact of Labour's policies on household finances. There are mentions of national insurance cuts and concerns about rising energy bills due to Labour's net zero plans.

```json",[100],[105],[105],"Well... LAUGHTER This is why the Prime Minister made the very clear pledges that he did, and you can measure the progress being made against them. We are making progress in this country. We have been through some very hard times, but the recovery is there. What we must ensure is that that is not choked off. And we must ensure that your taxes are being lowered. That is the pledge that we make to you. And that is what we have been doing with national insurance cuts that we have seen this year. That is what you need. It's not just your taxes that I'm worried about. I'm worried about my constituents being able to afford a Labour government. Angela mentioned GB Energy. Do you know what the GB stands for? It stands for Giant Bills. And more bills are coming with the net zero plans that Labour have. That is the most important thing because everything depends on you having that disposable income. And that is why tax is at the heart of this. The pledges that we are making to you on cutting your taxes and what Labour will not tell you about the taxes they are going to be putting up.",['105']
37,520,"The excerpt focuses on the government's economic policies, including their approach to reducing the deficit and stimulating economic growth. There are mentions of job creation, business growth, and the overall health of the British economy.  There is also a reference to a specific policy decision regarding the budget deficit.

```json",[100],[105],[105],"Well, we said that the most important task for the government was to get the economy growing, was to get jobs growing, and was to get the deficit down. And I would say on any analysis, and we've had to take, we had an appalling inheritance. We inherited a situation where Britain's budget deficit was forecast to be bigger than Greece's. Now, we had to take difficult decisions. I will defend all of those decisions. Difficult ones, ones that were hard to take, but the right thing for the country. And the result, there's a connection between the difficult decisions we had to take and the fact that we now have the fastest growing economy of any major Western economy. We've created 2 million private sector jobs. We've got 750,000 more businesses. The British economy is working. Now we need to make sure that people can... What I want is an economy that doesn't just look good on the page. I want people to feel that they can get a job, they can have a livelihood, they can buy a home, they can get a good school place for their children, they can enjoy a retirement. Those are the things. But that's what this plan, Jeremy, is all about.",['105']
39,533,"The excerpt discusses Brexit negotiations and the potential consequences of the UK leaving the EU. There are mentions of trade deals, trust in the government, and the impact of the Brexit Party. These points relate to international affairs and government operations.","[1900, 2000]",[2012],[2012],"question to Rishi. Say the Tories get their way, I hope they don't, the UK is out, nobody but nobody thinks a trade deal can be negotiated and agreed by the end of next year. That's nonsense, we do. We don't trust you, sorry. I don't trust you. I don't trust you because you don't trust democracy. You don't trust 17.4 million people. 17.4 million people. The Brexit party have got a big responsibility for the mess the UK is in right now. And we're very proud of what we've achieved. He's proud of the mess he's achieved in the UK. But can I finish my question? We haven't achieved the mess.",['2012']
40,534,"The text discusses the need for increased funding for the NHS, a potential tax increase to achieve this, and the importance of public trust in leadership. It also touches on the topic of Brexit and the need for a public vote on the deal.","[300, 100, 1900]","[105, 301]","[105, 301, 1926]","Good leaders don't run away from a debate. Theresa May undoubtedly should be here. Whatever we have discussed this evening, her absence is undoubtedly the shadow that hangs over this election. How dare you call a general election and then run away from the debate? We are all products of our upbringing. So I was brought up in Preston during the 1980s. And I saw people around me, what happens when a society, a community, is taken for granted, in that case, by a conservative government with a colossal majority. Half my mates' parents out at work at any given time. And I am determined to build a country for our kids, mine included, where people are decent to one another, where people have enough. We have a national health service that is properly funded. And that means being honest with the British people, saying we will put a penny on income tax to have the best health service in the world. It means stopping Theresa May's plans to do to your kids' schools what she's currently doing to our hospitals. And it also means if you want to lead the people, you have to kind of like them as well and spend time amongst them. And if you trust the people, then you do not impose that Brexit deal on the British people without them having the final say. Either the politicians will sign it off or the people will. Well, I trust the people.","['105', '301', '1926']"
41,544,The text discusses policies related to social welfare (pensioners) and taxation (winter fuel payment).,"[1300, 100]",[1303],[1303],"OK, don't give up on me quite yet, Angus. It's only halfway through the debate. Theresa may not be here, but I hope to make a good fist of setting out the Conservative Party policy. We've made a clear decision to make sure that we protect the poorest in our society. Which means that the pensioners will be protected, that winter fuel payment won't be paid to millionaires. No, it'll be focused. So where will the levels be put then? Where will the levels be put? Under a Labour government, the pensioners saw a rise in their pensions of 85p in one year. Under this government, we've seen pensioners' pay rise by over £1,000.",['1303']
42,548,The excerpt discusses policies aimed at increasing disposable income for individuals. This primarily involves tax cuts and reductions in specific levies.,[100],[105],[105],"What we want to do in UKIP is we want to put more money in people's pockets. We know that there's been a stagnation of living standards in recent years and how we will put money in people's pockets is firstly we would scrap VAT on domestic fuel bills. We would also scrap the green levies, which will save the average household £170 every single year. We'd increase the personal allowance, so you would have to be earning over £13,000 before you paid any tax. That would put more money in your pocket. UKIP will also oppose any rise in national insurance, because we believe as a party that people know how to spend their own money better than any government does on their behalf. We're a party of a small state. We believe that people know what best to do with their own money.",['105']
47,561,"The excerpt primarily discusses the state of the NHS, focusing on waiting lists and the government's efforts to address them.  There are mentions of increased funding, hiring more staff, and using new technology.  The speaker acknowledges the backlog caused by the pandemic but emphasizes the government's commitment to improving the situation.",[300],"[105, 301]","[105, 301]","in any meaningful way? Obviously, it's my responsibility, because I'm the one in charge, and I've been very clear. We haven't made as much progress on waiting lists as I would have liked. I mean, you talked about the pandemic. It's, I think, important for everyone to just understand the scale of what happened. During the Covid years, six million referrals that normally would have happened didn't happen. Just think about that, six million. Now, the NHS today, because of the money we've put in, the doctors and nurses we've hired, is doing more than it's ever done. It's working flat out, the amount of treatments, checks, test stands, operations, all of that is at record levels. But obviously, it is just a challenge to work through the fact that we've got this six million missed referrals that obviously now are coming into the system and we're catching up on. and it's going to take time to work through that. I'm not going to pretend it can be fixed overnight, but I can assure you that the NHS budget will continue to increase ahead of inflation in the next Parliament. It's already at record levels. We've got more doctors and nurses, and we're hiring more, and we're using new technology and new innovations to get you the health care that you need. So we're doing all the right things, but when you've had six million referrals that were missed and are going to take time to come back, it's just going to take a bit of time.","['105', '301']"
51,578,"The excerpt discusses investments in the NHS, training more medical professionals, and implementing new healthcare innovations. This points to the 300 (Health) supercategory.  The mention of ""elective surgical hubs"" and ""community diagnostic centres"" suggests a focus on improving healthcare delivery and efficiency, aligning with 301 (Health Care Reform).",[300],[301],[301],"With greatest respect, that's not what we're doing. We're investing record sums into it. We're training more doctors and nurses than we ever have, and there are more doctors and nurses in the NHS today than it's also had. But we also need to do things differently. And it's whether it's things... And you'll know this from... And what's your particular specialty? I'm a physiologist in cardiology. And you're in cardiology, right. So you'll know that we're doing things like elective surgical hubs, virtual wards, community diagnostic centres, of which there's one right here in Grimsby. And those are all new innovations that you and your colleagues have pioneered, that we have supported, that will actually mean that people can get the care they need quicker and secure the NHS for the long term.",['301']
53,597,"The text expresses criticism of the Conservative government and advocates for the Labour Party and the SNP. It also emphasizes the importance of Scottish interests being represented in the House of Commons. While there are mentions of elections and political parties, there is no explicit discussion of specific policies related to taxation, social welfare, or other categories.",[2000],[2012],[2012],"And you're going to get an answer. Look, I think the Conservative government's been a total disaster and a calamity. So it can't be out of office quick enough, in my view. I think it's an absolute racing certainty that the Labour Party will win the election in England, and I hope people in Scotland will recognise the importance of having strong SNP voices in the House of Commons who will argue for decisions to be made in Scotland for Scotland, and that will put the interests of people in Scotland first.",['2012']
55,610,The excerpt discusses the Liberal Democrats' stance on the United Nations Security Council and its implications for Britain's global influence. This primarily falls under the category of International Affairs.,[1900],[1926],[1926],It's a question of wanting to get things in Europe for your country and standing up for your country. And one of the things the Liberal Democrats would want to do is actually take away Britain's seat on the United Nations Security Council and replace it with a European one. And that's one of the things that actually gives us the ability to punch above our weight in the world. It gives us influence in the world.,['1926']
57,619,"The text discusses defense spending and its allocation, touching upon the Trident nuclear missile system and the welfare of veterans.","[1600, 1300]",[1610],[1610],"I would disagree mainly with my friend on the far right there. We already spend 6% of our budget on defence. I think that that proportion can be spent more wisely. I don't see the sense in spending £100 billion on replacing the Trident nuclear missile system, but I do think that there is a strong argument for making sure that the troops that we do have serving abroad are properly equipped and that they are looked after when they come home, because far too many of them end up on the streets as homeless or in prison as a result of not having proper aftercare. And Plaid Cymru has worked very hard in ensuring a strong deal for veterans through the work of my colleague Elvin Lloyd in Westminster.",['1610']
58,621,"The excerpt discusses the political landscape in the UK, focusing on the Labour Party's stance on Brexit and its perceived lack of leadership.  There are mentions of political parties, leadership qualities, and the EU, but no explicit discussion of specific policies like taxation, spending, or social welfare.","[1900, 2000]",[2012],[2012],"It's a terrible choice facing the two main Westminster parties, a no-deal policy on the one hand and with the Labour Party, no policy at all. Here's a question, Richard, that possibly you can answer. You probably do admire Tony Benn. He used to talk about, didn't he, weathervane politicians that just go with the winds, et cetera, or the signpost politicians. He was actually clear. He was against the European Union. But what we've got in the Labour Party now are weathervane politicians. You won't even say, going into this general election, where you stand. You say you'll consult your members. You're not even able to be honest with the people. Where's the leadership in that when we're crying out for it in this country?",['2012']
59,623,"The text discusses the impact of government spending cuts on the NHS and social care. It explicitly mentions plans to ""double the spending cuts"" and the negative consequences for both healthcare systems.  The text also mentions the Health and Social Care Act, which is framed as a step towards privatization.","[300, 100]","[105, 301]","[105, 301]","You supported the Health and Social Care Act, which is a recipe for privatisation in our NHS, but there's a bigger issue for people at home. And that's future plans for the NHS. I've set out where the money's coming from. David Cameron is planning to double the spending cuts next year and bigger cuts in the next three years. Think what that would mean, not just for the NHS, but social care. If you cut social care dramatically, as has happened in this Parliament, you undermine the NHS fundamentally, because elderly people don't get the help in their own home, they end up in hospital, and the NHS is creaking at the seams. That is what is happening now.","['105', '301']"
60,629,"The excerpt discusses the importance of trust in politics and outlines the challenges and proposed solutions presented in the manifesto.  While the manifesto mentions funding for the NHS and schools, it doesn't delve into specific tax policies or social welfare programs.

```json","[100, 2000]","[105, 2012]","[105, 2012]","Well, what my manifesto... Well, right, I used that word trust, and I used it because that is actually what politicians, when we go out, when we ask people to vote for us, we are asking people to trust us in the role that we want to be voted into. If I look at our manifesto, what our manifesto has done is to be open with people about the great challenges that we believe that this country faces and that need to be addressed by whoever is in government. We've been open about that. I've also been open that there will be some hard choices to be made in addressing those various challenges. You talk about figures in our manifesto. Of course, we already have budgets that have been set out in the autumn statement as government and in the spring budget. And we've added some figures in various areas like our extra funding on the NHS and schools in the manifesto. But I think it's important that the next government sets out for people the really big issues that are going to have to be addressed by whoever is in government. And those are in our manifesto.","['105', '2012']"
64,650,"The excerpt discusses economic policy, specifically focusing on government spending, taxation, and unemployment. There are mentions of reducing spending in certain areas, reversing tax cuts for the wealthy, and the need for fair taxes.",[100],[105],[105],"Unemployment, I mentioned wage levels, and I mentioned inflation. On unemployment, I was quoting the Office of Budget Responsibility forecast. Now, as it turned out, that forecast turned out to be wrong. But look, let's go to the big picture here. The big picture is of this election. Do we think the economy is fixed? David Cameron was on earlier. He says things are good, right? And things are fine. I don't think things are fine for the reasons that I set out in the town meeting earlier on. Because I think we are too much based on low wages. I think work is too insecure. I think our young people are burdened down by a lack of opportunity. And that is what's got to change about the country. What would you cut? Well, let me explain. We've said outside areas like education and health, key protected areas, there are going to be reductions in spending. And we've set out some of those cuts, like the winter fuel allowance for pensioners with incomes over £42,000 a year. We've talked about the ways in which we will cut money through efficiencies in the police, in local government. We've said, for example, that child benefit will be restricted to 1%. We said we'll reverse the... What does that come to? Well, the figure is at least hundreds of millions, more than a billion pounds. Hundreds of millions. But look, that's not the point. Because let me explain. We're going to have to make these decisions when we're in government. But I've got to set out an overall approach. And I have set out an overall approach. I've set out an overall approach which says, as I said earlier, it's about fair taxes. It's about, I'm a Labour leader going into the election saying we're going to reduce spending outside a small minority of areas. Tony Blair never went into an election saying that. What Tony Blair did is Tony Blair's affair, isn't it? No, it's a point about my approach, Jeremy. I'm not denying the need. I'm not denying the need. Would overall spending be greater? No, it would fall. You would spend less than the Tories. Would you borrow more than the Tories? There are going to be reductions outside the protected departments.",['105']
